Time,BA1_CFM,BA2_CFM,TO1_CFM,RHD_CFM,CDR_CFM,QCFM_Exhaust,QCFM_Supply,QCFM_MVbalance,QCFM_MVunbalance,QCFM_Infiltration,QCFM_Total,ACH
2017-07-31 18:00:00,NA,0,0,NA,0,0,0,0,0,62.7892302059702,62.7892302059702,0.151281123252548
2017-07-31 18:01:00,NA,0,0,NA,0,0,0,0,0,63.1455805991229,63.1455805991229,0.152139695456265
2017-07-31 18:02:00,NA,0,0,NA,0,0,0,0,0,63.5011482346667,63.5011482346667,0.15299638172429
2017-07-31 18:03:00,NA,0,0,NA,0,0,0,0,0,63.8559388802535,63.8559388802535,0.153851195952906
2017-07-31 18:04:00,NA,0,0,NA,0,0,0,0,0,64.2099582592336,64.2099582592336,0.154704151931655
2017-07-31 18:05:00,NA,0,0,NA,0,0,0,0,0,64.563212049844,64.563212049844,0.15555526334139
2017-07-31 18:06:00,NA,0,0,NA,0,0,0,0,0,64.9157058845014,64.9157058845014,0.156404543752563
2017-07-31 18:07:00,NA,0,0,NA,0,0,0,0,0,64.9157058845014,64.9157058845014,0.156404543752563
2017-07-31 18:08:00,NA,0,0,NA,0,0,0,0,0,64.9157058845014,64.9157058845014,0.156404543752563
2017-07-31 18:09:00,NA,0,0,NA,0,0,0,0,0,64.563212049844,64.563212049844,0.15555526334139
2017-07-31 18:10:00,NA,0,0,NA,0,0,0,0,0,64.563212049844,64.563212049844,0.15555526334139
2017-07-31 18:11:00,NA,0,0,NA,0,0,0,0,0,64.563212049844,64.563212049844,0.15555526334139
2017-07-31 18:12:00,NA,0,0,NA,0,0,0,0,0,64.2099582592336,64.2099582592336,0.154704151931655
2017-07-31 18:13:00,NA,0,0,NA,0,0,0,0,0,64.563212049844,64.563212049844,0.15555526334139
2017-07-31 18:14:00,NA,0,0,NA,0,0,0,0,0,64.2099582592336,64.2099582592336,0.154704151931655
2017-07-31 18:15:00,NA,0,0,NA,0,0,0,0,0,64.2099582592336,64.2099582592336,0.154704151931655
2017-07-31 18:16:00,NA,0,0,NA,0,0,0,0,0,63.8559388802535,63.8559388802535,0.153851195952906
2017-07-31 18:17:00,NA,0,0,NA,0,0,0,0,0,63.8559388802535,63.8559388802535,0.153851195952906
2017-07-31 18:18:00,NA,0,0,NA,0,0,0,0,0,63.8559388802535,63.8559388802535,0.153851195952906
2017-07-31 18:19:00,NA,0,0,NA,0,0,0,0,0,64.2099582592336,64.2099582592336,0.154704151931655
2017-07-31 18:20:00,NA,0,0,NA,0,0,0,0,0,64.563212049844,64.563212049844,0.15555526334139
2017-07-31 18:21:00,NA,0,0,NA,0,0,0,0,0,64.9157058845014,64.9157058845014,0.156404543752563
2017-07-31 18:22:00,NA,0,0,NA,0,0,0,0,0,65.2674453491904,65.2674453491904,0.157252006623757
2017-07-31 18:23:00,NA,0,0,NA,0,0,0,0,0,65.2674453491904,65.2674453491904,0.157252006623757
2017-07-31 18:24:00,NA,0,0,NA,0,0,0,0,0,65.6184359829411,65.6184359829411,0.158097665300424
2017-07-31 18:25:00,NA,0,0,NA,0,0,0,0,0,65.6184359829411,65.6184359829411,0.158097665300424
