Time,BA1_CFM,TO1_CFM,BA2_CFM,BA3_CFM,BA4_CFM,LAU_CFM,LAU2_CFM,RHD_CFM,CDR_CFM,QCFM_Exhaust,QCFM_Supply,QCFM_MVbalance,QCFM_MVunbalance,QCFM_Infiltration,QCFM_Total,ACH
2016-10-12 18:00:00,0,0,0,0,0,102,57,NA,0,159,0,0,159,16.8098603563071,160.60725572858,0.310852753023058
2016-10-12 18:01:00,0,0,0,0,0,102,57,NA,0,159,0,0,159,16.8098603563071,160.60725572858,0.310852753023058
2016-10-12 18:02:00,0,0,0,0,0,102,57,NA,0,159,0,0,159,16.8098603563071,160.60725572858,0.310852753023058
2016-10-12 18:03:00,0,0,0,0,0,102,57,NA,0,159,0,0,159,16.8098603563071,160.60725572858,0.310852753023058
2016-10-12 18:04:00,0,0,0,0,0,102,57,NA,0,159,0,0,159,16.8098603563071,160.60725572858,0.310852753023058
2016-10-12 18:05:00,0,0,0,0,0,102,57,NA,0,159,0,0,159,16.8098603563071,160.60725572858,0.310852753023058
2016-10-12 18:06:00,0,0,0,0,0,102,57,NA,0,159,0,0,159,16.8098603563071,160.60725572858,0.310852753023058
2016-10-12 18:07:00,0,0,0,0,0,102,57,NA,0,159,0,0,159,16.8098603563071,160.60725572858,0.310852753023058
2016-10-12 18:08:00,0,0,0,0,0,102,57,NA,0,159,0,0,159,16.8098603563071,160.60725572858,0.310852753023058
2016-10-12 18:09:00,0,0,0,0,0,102,57,NA,0,159,0,0,159,16.8098603563071,160.60725572858,0.310852753023058
2016-10-12 18:10:00,0,0,0,0,0,102,57,NA,0,159,0,0,159,16.8098603563071,160.60725572858,0.310852753023058
2016-10-12 18:11:00,0,0,0,0,0,102,57,NA,0,159,0,0,159,16.8098603563071,160.60725572858,0.310852753023058
2016-10-12 18:12:00,0,0,0,0,0,102,57,NA,0,159,0,0,159,16.8098603563071,160.60725572858,0.310852753023058
2016-10-12 18:13:00,0,0,0,0,0,102,57,NA,0,159,0,0,159,16.8098603563071,160.60725572858,0.310852753023058
2016-10-12 18:14:00,0,0,0,0,0,102,57,NA,0,159,0,0,159,16.8098603563071,160.60725572858,0.310852753023058
2016-10-12 18:15:00,0,0,0,0,0,102,57,NA,0,159,0,0,159,16.8098603563071,160.60725572858,0.310852753023058
2016-10-12 18:16:00,0,0,0,0,0,102,57,NA,0,159,0,0,159,16.8098603563071,160.60725572858,0.310852753023058
2016-10-12 18:17:00,0,0,0,0,0,102,57,NA,0,159,0,0,159,16.8098603563071,160.60725572858,0.310852753023058
2016-10-12 18:18:00,0,0,0,0,0,102,57,NA,0,159,0,0,159,16.8098603563071,160.60725572858,0.310852753023058
2016-10-12 18:19:00,0,0,0,0,0,102,57,NA,0,159,0,0,159,16.8098603563071,160.60725572858,0.310852753023058
2016-10-12 18:20:00,0,0,0,0,0,102,57,NA,0,159,0,0,159,16.8098603563071,160.60725572858,0.310852753023058
2016-10-12 18:21:00,0,0,0,0,0,102,57,NA,0,159,0,0,159,16.8098603563071,160.60725572858,0.310852753023058
2016-10-12 18:22:00,0,0,0,0,0,102,57,NA,0,159,0,0,159,16.8098603563071,160.60725572858,0.310852753023058
2016-10-12 18:23:00,0,0,0,0,0,102,57,NA,0,159,0,0,159,16.8098603563071,160.60725572858,0.310852753023058
2016-10-12 18:24:00,0,0,0,0,0,102,57,NA,0,159,0,0,159,16.8098603563071,160.60725572858,0.310852753023058
2016-10-12 18:25:00,0,0,0,0,0,102,57,NA,0,159,0,0,159,16.8098603563071,160.60725572858,0.310852753023058
2016-10-12 18:26:00,0,0,0,0,0,102,57,NA,0,159,0,0,159,16.4597190646641,160.544071500467,0.310730460968646
2016-10-12 18:27:00,0,0,0,0,0,102,57,NA,0,159,0,0,159,16.8098603563071,160.60725572858,0.310852753023058
2016-10-12 18:28:00,0,0,0,0,0,102,57,NA,0,159,0,0,159,16.8098603563071,160.60725572858,0.310852753023058
2016-10-12 18:29:00,0,0,0,0,0,102,57,NA,0,159,0,0,159,16.8098603563071,160.60725572858,0.310852753023058
2016-10-12 18:30:00,0,0,0,0,0,102,57,NA,0,159,0,0,159,16.4597190646641,160.544071500467,0.310730460968646
2016-10-12 18:31:00,0,0,0,0,0,102,57,NA,0,159,0,0,159,16.4597190646641,160.544071500467,0.310730460968646
2016-10-12 18:32:00,0,0,0,0,0,102,57,NA,0,159,0,0,159,16.4597190646641,160.544071500467,0.310730460968646
2016-10-12 18:33:00,0,0,0,0,0,102,57,NA,0,159,0,0,159,16.8098603563071,160.60725572858,0.310852753023058
2016-10-12 18:34:00,0,0,0,0,0,102,57,NA,0,159,0,0,159,16.4597190646641,160.544071500467,0.310730460968646
2016-10-12 18:35:00,0,0,0,0,0,102,57,NA,0,159,0,0,159,16.4597190646641,160.544071500467,0.310730460968646
2016-10-12 18:36:00,0,0,0,0,0,102,57,NA,0,159,0,0,159,16.4597190646641,160.544071500467,0.310730460968646
2016-10-12 18:37:00,0,0,0,0,0,102,57,NA,0,159,0,0,159,16.4597190646641,160.544071500467,0.310730460968646
