Time,BA1_CFM,BA2_CFM,BA3_CFM,TO1_CFM,LAU_CFM,RHD_CFM,CDR_CFM,QCFM_Exhaust,QCFM_Supply,QCFM_MVbalance,QCFM_MVunbalance,QCFM_Infiltration,QCFM_Total,ACH
2017-08-11 18:00:00,0,0,0,0,97,0,0,97,0,0,97,71.8157251171577,127.551054236943,0.30261222832015
2017-08-11 18:01:00,0,0,0,0,97,0,0,97,0,0,97,72.0520921729897,127.709492676332,0.302988120228545
2017-08-11 18:02:00,0,0,0,0,97,0,0,97,0,0,97,71.8157251171577,127.551054236943,0.30261222832015
2017-08-11 18:03:00,0,0,0,0,97,0,0,97,0,0,97,71.8157251171577,127.551054236943,0.30261222832015
2017-08-11 18:04:00,0,0,0,0,97,0,0,97,0,0,97,71.8157251171577,127.551054236943,0.30261222832015
2017-08-11 18:05:00,0,0,0,0,97,0,0,97,0,0,97,71.8157251171577,127.551054236943,0.30261222832015
2017-08-11 18:06:00,0,0,0,0,97,0,0,97,0,0,97,72.0520921729897,127.709492676332,0.302988120228545
2017-08-11 18:07:00,0,0,0,0,97,0,0,97,0,0,97,72.2890073131378,127.868516870991,0.30336540182916
2017-08-11 18:08:00,0,0,0,0,97,0,0,97,0,0,97,72.5264436949322,128.028109363869,0.303744031705502
2017-08-11 18:09:00,0,0,0,0,97,0,0,97,0,0,97,72.7643756127454,128.188253361179,0.30412397001466
2017-08-11 18:10:00,0,0,0,0,97,0,0,97,0,0,97,72.7643756127454,128.188253361179,0.30412397001466
2017-08-11 18:11:00,0,0,0,0,97,0,0,97,0,0,97,73.2416285493288,128.510131794842,0.304887619916588
2017-08-11 18:12:00,0,0,0,0,97,0,0,97,0,0,97,73.4809033027355,128.671835646001,0.305271258946621
2017-08-11 18:13:00,0,0,0,0,97,0,0,97,0,0,97,73.7205809576171,128.834029771008,0.305656061141182
2017-08-11 18:14:00,0,0,0,0,97,0,0,97,0,0,97,73.7205809576171,128.834029771008,0.305656061141182
2017-08-11 18:15:00,0,0,0,0,97,0,0,97,0,0,97,73.9606406420907,128.996700197447,0.306041993351002
2017-08-11 18:16:00,0,0,0,0,97,0,0,97,0,0,97,74.2010623070704,129.159833433874,0.306429023567911
2017-08-11 18:17:00,0,0,0,0,97,0,0,97,0,0,97,74.4418266855846,129.323416446382,0.306817120869234
2017-08-11 18:18:00,0,0,0,0,97,0,0,97,0,0,97,74.4418266855846,129.323416446382,0.306817120869234
2017-08-11 18:19:00,0,0,0,0,97,0,0,97,0,0,97,74.682915254705,129.487436636702,0.30720625536584
2017-08-11 18:20:00,0,0,0,0,97,0,0,97,0,0,97,74.9243101998761,129.651881821721,0.307596398153549
2017-08-11 18:21:00,0,0,0,0,97,0,0,97,0,0,97,75.1659943814527,129.816740214299,0.307987521267613
2017-08-11 18:22:00,0,0,0,0,97,0,0,97,0,0,97,75.1659943814527,129.816740214299,0.307987521267613
2017-08-11 18:23:00,0,0,0,0,97,0,0,97,0,0,97,75.4079513032736,129.982000405273,0.308379597640031
2017-08-11 18:24:00,0,0,0,0,97,0,0,97,0,0,97,75.6501650831157,130.147651346569,0.308772601059475
2017-08-11 18:25:00,0,0,0,0,97,0,0,97,0,0,97,75.8926204248847,130.31368233532,0.309166506133617
2017-08-11 18:26:00,0,0,0,0,97,0,0,97,0,0,97,76.1353025924166,130.480082998929,0.309561288253687
2017-08-11 18:27:00,0,0,0,0,97,0,0,97,0,0,97,76.3781973847705,130.646843280996,0.309956923561082
2017-08-11 18:28:00,0,0,0,0,97,0,0,97,0,0,97,76.3781973847705,130.646843280996,0.309956923561082
2017-08-11 18:29:00,0,0,0,0,97,0,0,97,0,0,97,76.6212911129063,130.813953428044,0.310353388915882
2017-08-11 18:30:00,0,0,0,0,97,0,0,97,0,0,97,76.6212911129063,130.813953428044,0.310353388915882
2017-08-11 18:31:00,0,0,0,0,97,0,0,97,0,0,97,76.6212911129063,130.813953428044,0.310353388915882
