Time,BA1_CFM,BA2_CFM,BA3_CFM,TO1_CFM,TO2_CFM,TO3_CFM,BA4_CFM,LAU_CFM,RHD_CFM,CDR_CFM,QCFM_Exhaust,QCFM_Supply,QCFM_MVbalance,QCFM_MVunbalance,QCFM_Infiltration,QCFM_Total,ACH
2017-04-07 18:00:00,0,101,0,0,0,0,0,0,0,0,101,0,0,101,58.4399743161108,122.420165254772,0.214828753627748
2017-04-07 18:01:00,0,101,0,0,0,0,0,0,0,0,101,0,0,101,58.4399743161108,122.420165254772,0.214828753627748
2017-04-07 18:02:00,0,101,0,0,0,0,0,0,0,0,101,0,0,101,58.4399743161108,122.420165254772,0.214828753627748
2017-04-07 18:03:00,0,101,0,0,0,0,0,0,0,0,101,0,0,101,58.4399743161108,122.420165254772,0.214828753627748
2017-04-07 18:04:00,0,101,0,0,0,0,0,0,0,0,101,0,0,101,58.4399743161108,122.420165254772,0.214828753627748
2017-04-07 18:05:00,0,101,0,0,0,0,0,0,0,0,101,0,0,101,58.4399743161108,122.420165254772,0.214828753627748
2017-04-07 18:06:00,0,101,0,0,0,0,0,0,0,0,101,0,0,101,58.4399743161108,122.420165254772,0.214828753627748
2017-04-07 18:07:00,0,101,0,0,0,0,0,0,0,0,101,0,0,101,58.4399743161108,122.420165254772,0.214828753627748
2017-04-07 18:08:00,0,101,0,0,0,0,0,0,0,0,101,0,0,101,58.4399743161108,122.420165254772,0.214828753627748
2017-04-07 18:09:00,0,101,0,0,0,0,0,0,0,0,101,0,0,101,58.4399743161108,122.420165254772,0.214828753627748
2017-04-07 18:10:00,0,101,0,0,0,0,0,0,0,0,101,0,0,101,58.4399743161108,122.420165254772,0.214828753627748
2017-04-07 18:11:00,0,101,0,0,0,0,0,0,0,0,101,0,0,101,58.4399743161108,122.420165254772,0.214828753627748
2017-04-07 18:12:00,0,101,0,0,0,0,0,0,0,0,101,0,0,101,58.4399743161108,122.420165254772,0.214828753627748
2017-04-07 18:13:00,0,101,0,0,0,0,0,0,0,0,101,0,0,101,58.4399743161108,122.420165254772,0.214828753627748
2017-04-07 18:14:00,0,101,0,0,0,0,0,0,0,0,101,0,0,101,58.4399743161108,122.420165254772,0.214828753627748
2017-04-07 18:15:00,0,101,0,0,0,0,0,0,0,0,101,0,0,101,58.4399743161108,122.420165254772,0.214828753627748
2017-04-07 18:16:00,0,101,0,0,0,0,0,0,0,0,101,0,0,101,58.4399743161108,122.420165254772,0.214828753627748
2017-04-07 18:17:00,0,101,0,0,0,0,0,0,0,0,101,0,0,101,58.4399743161108,122.420165254772,0.214828753627748
2017-04-07 18:18:00,0,101,0,0,0,0,0,0,0,0,101,0,0,101,58.4399743161108,122.420165254772,0.214828753627748
2017-04-07 18:19:00,0,101,0,0,0,0,0,0,0,0,101,0,0,101,58.4399743161108,122.420165254772,0.214828753627748
2017-04-07 18:20:00,0,101,0,0,0,0,0,0,0,0,101,0,0,101,58.4399743161108,122.420165254772,0.214828753627748
2017-04-07 18:21:00,0,101,0,0,0,0,0,0,0,0,101,0,0,101,58.4399743161108,122.420165254772,0.214828753627748
2017-04-07 18:22:00,0,101,0,0,0,0,0,0,0,0,101,0,0,101,58.4399743161108,122.420165254772,0.214828753627748
2017-04-07 18:23:00,0,101,0,0,0,0,0,0,0,0,101,0,0,101,58.4399743161108,122.420165254772,0.214828753627748
2017-04-07 18:24:00,0,101,0,0,0,0,0,0,0,0,101,0,0,101,58.1854568742118,122.267944058081,0.214561628600651
2017-04-07 18:25:00,0,101,0,0,0,0,0,0,0,0,101,0,0,101,58.1854568742118,122.267944058081,0.214561628600651
2017-04-07 18:26:00,0,101,0,0,0,0,0,0,0,0,101,0,0,101,58.1854568742118,122.267944058081,0.214561628600651
2017-04-07 18:27:00,0,101,0,0,0,0,0,0,0,0,101,0,0,101,58.1854568742118,122.267944058081,0.214561628600651
2017-04-07 18:28:00,0,101,0,0,0,0,0,0,0,0,101,0,0,101,58.1854568742118,122.267944058081,0.214561628600651
2017-04-07 18:29:00,0,101,0,0,0,0,72,0,0,0,173,0,0,173,58.1854568742118,187.644292238083,0.32928716721608
2017-04-07 18:30:00,0,101,0,0,0,0,0,0,0,0,101,0,0,101,58.1854568742118,122.267944058081,0.214561628600651
2017-04-07 18:31:00,0,101,0,0,0,0,0,0,0,0,101,0,0,101,58.1854568742118,122.267944058081,0.214561628600651
2017-04-07 18:32:00,0,101,0,0,0,0,0,0,0,0,101,0,0,101,58.1854568742118,122.267944058081,0.214561628600651
2017-04-07 18:33:00,0,101,0,0,0,0,0,0,0,0,101,0,0,101,57.6836370907756,121.968778186732,0.214036638039364
2017-04-07 18:34:00,0,101,0,0,0,0,0,0,0,0,101,0,0,101,58.1854568742118,122.267944058081,0.214561628600651
2017-04-07 18:35:00,0,101,0,0,0,0,0,0,0,0,101,0,0,101,58.1854568742118,122.267944058081,0.214561628600651
2017-04-07 18:36:00,0,101,0,0,0,0,0,0,0,0,101,0,0,101,58.1854568742118,122.267944058081,0.214561628600651
2017-04-07 18:37:00,0,101,0,0,0,0,0,0,0,0,101,0,0,101,58.1854568742118,122.267944058081,0.214561628600651
2017-04-07 18:38:00,0,101,0,0,0,0,0,0,0,0,101,0,0,101,58.1854568742118,122.267944058081,0.214561628600651
2017-04-07 18:39:00,0,101,0,0,0,0,0,0,0,0,101,0,0,101,58.1854568742118,122.267944058081,0.214561628600651
2017-04-07 18:40:00,0,101,0,0,0,0,0,0,0,0,101,0,0,101,58.1854568742118,122.267944058081,0.214561628600651
2017-04-07 18:41:00,0,101,0,0,0,0,0,0,0,0,101,0,0,101,58.1854568742118,122.267944058081,0.214561628600651
2017-04-07 18:42:00,0,101,0,0,0,0,0,0,0,0,101,0,0,101,58.1854568742118,122.267944058081,0.214561628600651
2017-04-07 18:43:00,0,101,0,0,0,0,0,0,0,0,101,0,0,101,58.1854568742118,122.267944058081,0.214561628600651
2017-04-07 18:44:00,0,101,0,0,0,0,0,0,0,0,101,0,0,101,58.1854568742118,122.267944058081,0.214561628600651
2017-04-07 18:45:00,0,101,0,0,0,0,0,0,0,0,101,0,0,101,58.1854568742118,122.267944058081,0.214561628600651
2017-04-07 18:46:00,0,101,0,0,0,0,0,0,0,0,101,0,0,101,58.1854568742118,122.267944058081,0.214561628600651
2017-04-07 18:47:00,0,101,0,0,0,0,0,0,0,0,101,0,0,101,58.1854568742118,122.267944058081,0.214561628600651
2017-04-07 18:48:00,0,101,0,0,0,0,0,0,0,0,101,0,0,101,58.1854568742118,122.267944058081,0.214561628600651
2017-04-07 18:49:00,0,101,0,0,0,0,0,0,0,0,101,0,0,101,57.9333121082238,122.117464975143,0.214297560717983
2017-04-07 18:50:00,0,101,0,0,0,0,0,0,0,0,101,0,0,101,58.1854568742118,122.267944058081,0.214561628600651
2017-04-07 18:51:00,0,101,0,0,0,0,0,0,0,0,101,0,0,101,58.1854568742118,122.267944058081,0.214561628600651
