Time,BA1_CFM,BA2_CFM,BA3_CFM,TO1_CFM,LAU_CFM,RHD_CFM,CDR_CFM,QCFM_Exhaust,QCFM_Supply,QCFM_MVbalance,QCFM_MVunbalance,QCFM_Infiltration,QCFM_Total,ACH
2018-02-20 18:46:00,0,0,0,0,102,0,0,102,0,0,102,66.8059695092934,128.438860989634,0.241539936040685
2018-02-20 18:47:00,0,0,0,0,102,0,0,102,0,0,102,66.8059695092934,128.438860989634,0.241539936040685
2018-02-20 18:48:00,0,0,0,0,102,0,0,102,0,0,102,66.8059695092934,128.438860989634,0.241539936040685
2018-02-20 18:49:00,0,0,0,0,102,0,0,102,0,0,102,66.4540150140176,128.215677383028,0.241120220748525
2018-02-20 18:50:00,0,0,0,0,102,0,0,102,0,0,102,66.4540150140176,128.215677383028,0.241120220748525
2018-02-20 18:51:00,0,0,0,0,102,0,0,102,0,0,102,66.4540150140176,128.215677383028,0.241120220748525
2018-02-20 18:52:00,0,0,0,0,102,0,0,102,0,0,102,66.4540150140176,128.215677383028,0.241120220748525
2018-02-20 18:53:00,0,0,0,0,102,0,0,102,0,0,102,68.8547806775843,129.748599151608,0.244003007337298
2018-02-20 18:54:00,0,0,0,0,102,0,0,102,0,0,102,68.8547806775843,129.748599151608,0.244003007337298
2018-02-20 18:55:00,0,0,0,0,102,0,0,102,0,0,102,68.8547806775843,129.748599151608,0.244003007337298
2018-02-20 18:56:00,0,0,0,0,102,0,0,102,0,0,102,68.8547806775843,129.748599151608,0.244003007337298
2018-02-20 18:57:00,0,0,0,0,102,0,0,102,0,0,102,68.8547806775843,129.748599151608,0.244003007337298
2018-02-20 18:58:00,0,0,0,0,102,0,0,102,0,0,102,68.8547806775843,129.748599151608,0.244003007337298
2018-02-20 18:59:00,0,0,0,0,102,0,0,102,0,0,102,69.2061366661863,129.974986443373,0.244428747425243
2018-02-20 19:00:00,0,0,0,0,102,0,0,102,0,0,102,68.8547806775843,129.748599151608,0.244003007337298
2018-02-20 19:01:00,0,0,0,0,102,0,0,102,0,0,102,68.8547806775843,129.748599151608,0.244003007337298
2018-02-20 19:02:00,0,0,0,0,102,0,0,102,0,0,102,68.8547806775843,129.748599151608,0.244003007337298
2018-02-20 19:03:00,0,0,0,0,102,0,0,102,0,0,102,68.8547806775843,129.748599151608,0.244003007337298
2018-02-20 19:04:00,0,0,0,0,102,0,0,102,0,0,102,68.8547806775843,129.748599151608,0.244003007337298
2018-02-20 19:05:00,0,0,0,0,102,0,0,102,0,0,102,68.8547806775843,129.748599151608,0.244003007337298
2018-02-20 19:06:00,0,0,0,0,102,0,0,102,0,0,102,69.2061366661863,129.974986443373,0.244428747425243
2018-02-20 19:07:00,0,0,0,0,102,0,0,102,0,0,102,68.8547806775843,129.748599151608,0.244003007337298
2018-02-20 19:08:00,0,0,0,0,102,0,0,102,0,0,102,68.8547806775843,129.748599151608,0.244003007337298
2018-02-20 19:09:00,0,0,0,0,102,0,0,102,0,0,102,68.8547806775843,129.748599151608,0.244003007337298
2018-02-20 19:10:00,0,0,0,0,102,0,0,102,0,0,102,68.8547806775843,129.748599151608,0.244003007337298
2018-02-20 19:11:00,0,0,0,0,102,0,0,102,0,0,102,68.8547806775843,129.748599151608,0.244003007337298
2018-02-20 19:12:00,0,0,0,0,102,0,0,102,0,0,102,68.8547806775843,129.748599151608,0.244003007337298
2018-02-20 19:13:00,0,0,0,0,102,0,0,102,0,0,102,68.8547806775843,129.748599151608,0.244003007337298
2018-02-20 19:14:00,0,0,0,0,102,0,0,102,0,0,102,68.8547806775843,129.748599151608,0.244003007337298
2018-02-20 19:15:00,0,0,0,0,102,0,0,102,0,0,102,68.8547806775843,129.748599151608,0.244003007337298
2018-02-20 19:16:00,0,0,0,0,102,0,0,102,0,0,102,68.8547806775843,129.748599151608,0.244003007337298
2018-02-20 19:17:00,0,0,0,0,102,0,0,102,0,0,102,68.8547806775843,129.748599151608,0.244003007337298
2018-02-20 19:18:00,0,0,0,0,102,0,0,102,0,0,102,69.2061366661863,129.974986443373,0.244428747425243
2018-02-20 19:19:00,0,0,0,0,102,0,0,102,0,0,102,69.2061366661863,129.974986443373,0.244428747425243
2018-02-20 19:20:00,0,0,0,0,102,0,0,102,0,0,102,69.2061366661863,129.974986443373,0.244428747425243
2018-02-20 19:21:00,0,0,0,0,102,0,0,102,0,0,102,69.2061366661863,129.974986443373,0.244428747425243
2018-02-20 19:22:00,0,0,0,0,102,0,0,102,0,0,102,69.2061366661863,129.974986443373,0.244428747425243
2018-02-20 19:23:00,0,0,0,0,102,0,0,102,0,0,102,69.2061366661863,129.974986443373,0.244428747425243
2018-02-20 19:24:00,0,0,0,0,102,0,0,102,0,0,102,69.2061366661863,129.974986443373,0.244428747425243
2018-02-20 19:25:00,0,0,0,0,102,0,0,102,0,0,102,68.8547806775843,129.748599151608,0.244003007337298
2018-02-20 19:26:00,0,0,0,0,102,0,0,102,0,0,102,69.2061366661863,129.974986443373,0.244428747425243
2018-02-20 19:27:00,0,0,0,0,102,0,0,102,0,0,102,69.2061366661863,129.974986443373,0.244428747425243
2018-02-20 19:28:00,0,0,0,0,102,0,0,102,0,0,102,69.2061366661863,129.974986443373,0.244428747425243
