Time,BA1_CFM,BA2_CFM,TO1_CFM,BA3_CFM,LAU_CFM,RHD_CFM,CDR_CFM,QCFM_Exhaust,QCFM_Supply,QCFM_MVbalance,QCFM_MVunbalance,QCFM_Infiltration,QCFM_Total,ACH
2017-05-12 18:44:00,NA,NA,NA,NA,NA,NA,NA,0,100,0,100,43.50197237,113.1874257,0.377102868
2017-05-12 18:45:00,NA,NA,NA,NA,NA,NA,NA,0,100,0,100,43.50197237,113.1874257,0.377102868
2017-05-12 18:46:00,NA,NA,NA,NA,NA,NA,NA,0,100,0,100,43.50197237,113.1874257,0.377102868
2017-05-12 18:47:00,NA,NA,NA,NA,NA,NA,NA,0,100,0,100,43.50197237,113.1874257,0.377102868
2017-05-12 18:48:00,NA,NA,NA,NA,NA,NA,NA,0,100,0,100,43.50197237,113.1874257,0.377102868
2017-05-12 18:49:00,NA,NA,NA,NA,NA,NA,NA,0,100,0,100,43.50197237,113.1874257,0.377102868
2017-05-12 18:50:00,NA,NA,NA,NA,NA,NA,NA,0,100,0,100,43.50197237,113.1874257,0.377102868
2017-05-12 18:51:00,NA,NA,NA,NA,NA,NA,NA,0,100,0,100,43.50197237,113.1874257,0.377102868
2017-05-12 18:52:00,NA,NA,NA,NA,NA,NA,NA,0,100,0,100,43.37638557,113.1228781,0.376887816
2017-05-12 18:53:00,NA,NA,NA,NA,NA,NA,NA,0,100,0,100,41.63928517,112.2411665,0.373950246
2017-05-12 18:54:00,NA,NA,NA,NA,NA,NA,NA,0,100,0,100,41.63928517,112.2411665,0.373950246
2017-05-12 18:55:00,NA,NA,NA,NA,NA,NA,NA,0,100,0,100,41.63928517,112.2411665,0.373950246
2017-05-12 18:56:00,NA,NA,NA,NA,NA,NA,NA,0,100,0,100,41.36258748,112.1026622,0.373488796
2017-05-12 18:57:00,NA,NA,NA,NA,NA,NA,NA,0,100,0,100,41.50095941,112.1718583,0.373719335
2017-05-12 18:58:00,NA,NA,NA,NA,NA,NA,NA,0,100,0,100,41.50095941,112.1718583,0.373719335
2017-05-12 18:59:00,NA,NA,NA,NA,NA,NA,NA,0,100,0,100,41.50095941,112.1718583,0.373719335
2017-05-12 19:00:00,NA,NA,NA,NA,NA,NA,NA,0,100,0,100,41.50095941,112.1718583,0.373719335
2017-05-12 19:01:00,NA,NA,NA,NA,NA,NA,NA,0,100,0,100,41.36258748,112.1026622,0.373488796
2017-05-12 19:02:00,NA,NA,NA,NA,NA,NA,NA,0,100,0,100,41.36258748,112.1026622,0.373488796
