Time,BA1_CFM,BA2_CFM,LAU_CFM,RHD_CFM,CDR_CFM,QCFM_Exhaust,QCFM_Supply,QCFM_MVbalance,QCFM_MVunbalance,QCFM_Infiltration,QCFM_Total,ACH
2017-06-26 18:00:00,0,0,112,0,0,112,0,0,112,17.5322421986934,114.37299618455,0.461833216977789
2017-06-26 18:01:00,0,0,112,0,0,112,0,0,112,17.5322421986934,114.37299618455,0.461833216977789
2017-06-26 18:02:00,0,0,112,0,0,112,0,0,112,17.5322421986934,114.37299618455,0.461833216977789
2017-06-26 18:03:00,0,0,112,0,0,112,0,0,112,17.5322421986934,114.37299618455,0.461833216977789
2017-06-26 18:04:00,0,0,112,0,0,112,0,0,112,17.5322421986934,114.37299618455,0.461833216977789
2017-06-26 18:05:00,0,0,112,0,0,112,0,0,112,17.5322421986934,114.37299618455,0.461833216977789
2017-06-26 18:06:00,0,0,112,0,0,112,0,0,112,17.5322421986934,114.37299618455,0.461833216977789
2017-06-26 18:07:00,0,0,112,0,0,112,0,0,112,17.5322421986934,114.37299618455,0.461833216977789
2017-06-26 18:08:00,0,0,112,0,0,112,0,0,112,17.5322421986934,114.37299618455,0.461833216977789
2017-06-26 18:09:00,0,0,112,0,0,112,0,0,112,17.5322421986934,114.37299618455,0.461833216977789
2017-06-26 18:10:00,0,0,112,0,0,112,0,0,112,17.3777115731054,114.334133567878,0.461676291410774
2017-06-26 18:11:00,0,0,112,0,0,112,0,0,112,17.3777115731054,114.334133567878,0.461676291410774
2017-06-26 18:12:00,0,0,112,0,0,112,0,0,112,17.3777115731054,114.334133567878,0.461676291410774
2017-06-26 18:13:00,0,0,112,0,0,112,0,0,112,17.3777115731054,114.334133567878,0.461676291410774
2017-06-26 18:14:00,0,0,112,0,0,112,0,0,112,17.3777115731054,114.334133567878,0.461676291410774
2017-06-26 18:15:00,0,0,112,0,0,112,0,0,112,17.3777115731054,114.334133567878,0.461676291410774
2017-06-26 18:16:00,0,0,112,0,0,112,0,0,112,17.3777115731054,114.334133567878,0.461676291410774
2017-06-26 18:17:00,0,0,112,0,0,112,0,0,112,17.3777115731054,114.334133567878,0.461676291410774
2017-06-26 18:18:00,0,0,112,0,0,112,0,0,112,17.3777115731054,114.334133567878,0.461676291410774
2017-06-26 18:19:00,0,0,112,0,0,112,0,0,112,17.2227245978633,114.295434053855,0.461520024445204
2017-06-26 18:20:00,0,0,112,0,0,112,0,0,112,17.2227245978633,114.295434053855,0.461520024445204
2017-06-26 18:21:00,0,0,112,0,0,112,0,0,112,17.2227245978633,114.295434053855,0.461520024445204
2017-06-26 18:22:00,0,0,112,0,0,112,0,0,112,17.2227245978633,114.295434053855,0.461520024445204
2017-06-26 18:23:00,0,0,112,0,0,112,0,0,112,17.2227245978633,114.295434053855,0.461520024445204
2017-06-26 18:24:00,0,0,112,0,0,112,0,0,112,17.2227245978633,114.295434053855,0.461520024445204
2017-06-26 18:25:00,0,0,112,0,0,112,0,0,112,17.0672839405413,114.256901766378,0.461364432733205
2017-06-26 18:26:00,0,0,112,0,0,112,0,0,112,17.0672839405413,114.256901766378,0.461364432733205
2017-06-26 18:27:00,0,0,112,0,0,112,0,0,112,17.0672839405413,114.256901766378,0.461364432733205
2017-06-26 18:28:00,0,0,112,0,0,112,0,0,112,17.2227245978633,114.295434053855,0.461520024445204
2017-06-26 18:29:00,0,0,112,0,0,112,0,0,112,17.0672839405413,114.256901766378,0.461364432733205
2017-06-26 18:30:00,0,0,112,0,0,112,0,0,112,17.0672839405413,114.256901766378,0.461364432733205
2017-06-26 18:31:00,0,0,112,0,0,112,0,0,112,17.0672839405413,114.256901766378,0.461364432733205
2017-06-26 18:32:00,0,0,112,0,0,112,0,0,112,17.0672839405413,114.256901766378,0.461364432733205
2017-06-26 18:33:00,0,0,112,0,0,112,0,0,112,17.0672839405413,114.256901766378,0.461364432733205
2017-06-26 18:34:00,0,0,112,0,0,112,0,0,112,17.0672839405413,114.256901766378,0.461364432733205
