Time,BA1_CFM,BA2_CFM,BA3_CFM,BA4_CFM,TO1_CFM,BA5_CFM,LAU_CFM,RHD_CFM,CDR_CFM,QCFM_Exhaust,QCFM_Supply,QCFM_MVbalance,QCFM_MVunbalance,QCFM_Infiltration,QCFM_Total,ACH
2017-06-06 18:00:00,0,NA,NA,0,0,NA,72,NA,0,72,0,0,72,42.7185572378015,87.9074100687696,0.15226896284899
2017-06-06 18:01:00,0,NA,NA,0,0,NA,72,NA,0,72,0,0,72,42.7185572378015,87.9074100687696,0.15226896284899
2017-06-06 18:02:00,0,NA,NA,0,0,NA,72,NA,0,72,0,0,72,42.7185572378015,87.9074100687696,0.15226896284899
2017-06-06 18:03:00,0,NA,NA,0,0,NA,72,NA,0,72,0,0,72,42.7185572378015,87.9074100687696,0.15226896284899
2017-06-06 18:04:00,0,NA,NA,0,0,NA,72,NA,0,72,0,0,72,42.7185572378015,87.9074100687696,0.15226896284899
2017-06-06 18:05:00,0,NA,NA,0,0,NA,72,NA,0,72,0,0,72,42.7185572378015,87.9074100687696,0.15226896284899
2017-06-06 18:06:00,0,NA,NA,0,0,NA,72,NA,0,72,0,0,72,42.7185572378015,87.9074100687696,0.15226896284899
2017-06-06 18:07:00,0,NA,NA,0,0,NA,72,NA,0,72,0,0,72,42.7185572378015,87.9074100687696,0.15226896284899
2017-06-06 18:08:00,0,NA,NA,0,0,NA,72,NA,0,72,0,0,72,42.7185572378015,87.9074100687696,0.15226896284899
2017-06-06 18:09:00,0,NA,NA,0,0,NA,72,NA,0,72,0,0,72,42.7185572378015,87.9074100687696,0.15226896284899
2017-06-06 18:10:00,0,NA,NA,0,0,NA,72,NA,0,72,0,0,72,42.7185572378015,87.9074100687696,0.15226896284899
2017-06-06 18:11:00,0,NA,NA,0,0,NA,72,NA,0,72,0,0,72,42.7185572378015,87.9074100687696,0.15226896284899
2017-06-06 18:12:00,0,NA,NA,0,0,NA,72,NA,0,72,0,0,72,42.7185572378015,87.9074100687696,0.15226896284899
