Time,BA1_CFM,BA2_CFM,TO1_CFM,BA3_CFM,LAU_CFM,RHD_CFM,CDR_CFM,QCFM_Exhaust,QCFM_Supply,QCFM_MVbalance,QCFM_MVunbalance,QCFM_Infiltration,QCFM_Total,ACH
2018-02-05 18:00:00,0,0,0,0,98,0,0,98,0,0,98,29.7129691685599,104.912849513714,0.252771592612248
2018-02-05 18:01:00,0,0,0,0,98,0,0,98,0,0,98,29.7129691685599,104.912849513714,0.252771592612248
2018-02-05 18:02:00,0,0,0,0,98,0,0,98,0,0,98,29.7129691685599,104.912849513714,0.252771592612248
2018-02-05 18:03:00,0,0,0,0,98,0,0,98,0,0,98,29.7129691685599,104.912849513714,0.252771592612248
2018-02-05 18:04:00,0,0,0,0,98,0,0,98,0,0,98,29.7129691685599,104.912849513714,0.252771592612248
2018-02-05 18:05:00,0,0,0,0,98,0,0,98,0,0,98,29.7129691685599,104.912849513714,0.252771592612248
2018-02-05 18:06:00,0,0,0,0,98,0,0,98,0,0,98,29.7129691685599,104.912849513714,0.252771592612248
2018-02-05 18:07:00,0,0,0,0,98,0,0,98,0,0,98,29.7129691685599,104.912849513714,0.252771592612248
2018-02-05 18:08:00,0,0,0,0,98,0,0,98,0,0,98,29.7129691685599,104.912849513714,0.252771592612248
2018-02-05 18:09:00,0,0,0,0,98,0,0,98,0,0,98,29.7129691685599,104.912849513714,0.252771592612248
2018-02-05 18:10:00,0,0,0,0,98,0,0,98,0,0,98,29.3091615097466,104.747565832791,0.252373366661344
2018-02-05 18:11:00,0,0,0,0,98,0,0,98,0,0,98,29.3091615097466,104.747565832791,0.252373366661344
2018-02-05 18:12:00,0,0,0,0,98,0,0,98,0,0,98,29.3091615097466,104.747565832791,0.252373366661344
2018-02-05 18:13:00,0,0,0,0,98,0,0,98,0,0,98,29.3091615097466,104.747565832791,0.252373366661344
2018-02-05 18:14:00,0,0,0,0,98,0,0,98,0,0,98,29.3091615097466,104.747565832791,0.252373366661344
2018-02-05 18:15:00,0,0,0,0,98,0,0,98,0,0,98,29.3091615097466,104.747565832791,0.252373366661344
2018-02-05 18:16:00,0,0,0,0,98,0,0,98,0,0,98,29.3091615097466,104.747565832791,0.252373366661344
2018-02-05 18:17:00,0,0,0,0,98,0,0,98,0,0,98,29.3091615097466,104.747565832791,0.252373366661344
2018-02-05 18:18:00,0,0,0,0,98,0,0,98,0,0,98,28.9024973482427,104.582647074886,0.251976019937083
2018-02-05 18:19:00,0,0,0,0,98,0,0,98,0,0,98,29.3091615097466,104.747565832791,0.252373366661344
2018-02-05 18:20:00,0,0,0,0,98,0,0,98,0,0,98,29.3091615097466,104.747565832791,0.252373366661344
