Time,BA1_CFM,BA2_CFM,BA3_CFM,TO1_CFM,LAU_CFM,KIT_CFM,RHD_CFM,CDR_CFM,QCFM_Exhaust,QCFM_Supply,QCFM_MVbalance,QCFM_MVunbalance,QCFM_Infiltration,QCFM_Total,ACH
2017-09-18 18:44:00,0,0,0,0,98,120,0,0,218,0,0,218,60.9065397629191,231.300536405655,0.593078298476039
2017-09-18 18:45:00,0,0,0,0,98,120,0,0,218,0,0,218,60.9065397629191,231.300536405655,0.593078298476039
2017-09-18 18:46:00,0,0,0,0,98,120,0,0,218,0,0,218,60.9065397629191,231.300536405655,0.593078298476039
2017-09-18 18:47:00,0,0,0,0,98,120,0,0,218,0,0,218,60.9065397629191,231.300536405655,0.593078298476039
2017-09-18 18:48:00,0,0,0,0,98,120,0,0,218,0,0,218,60.9065397629191,231.300536405655,0.593078298476039
2017-09-18 18:49:00,0,0,0,0,98,120,0,0,218,0,0,218,60.9065397629191,231.300536405655,0.593078298476039
2017-09-18 18:50:00,0,0,0,0,98,120,0,0,218,0,0,218,60.9065397629191,231.300536405655,0.593078298476039
2017-09-18 18:51:00,0,0,0,0,98,120,0,0,218,0,0,218,60.9065397629191,231.300536405655,0.593078298476039
2017-09-18 18:52:00,0,0,0,0,98,120,0,0,218,0,0,218,60.9065397629191,231.300536405655,0.593078298476039
2017-09-18 18:53:00,0,0,0,0,98,120,0,0,218,0,0,218,50.6104770430996,227.535817123467,0.583425172111453
2017-09-18 18:54:00,0,0,0,0,98,120,0,0,218,0,0,218,50.6104770430996,227.535817123467,0.583425172111453
2017-09-18 18:55:00,0,0,0,0,98,120,0,0,218,0,0,218,50.6104770430996,227.535817123467,0.583425172111453
2017-09-18 18:56:00,0,0,0,0,98,120,0,0,218,0,0,218,50.6104770430996,227.535817123467,0.583425172111453
2017-09-18 18:57:00,0,0,0,0,98,120,0,0,218,0,0,218,50.6104770430996,227.535817123467,0.583425172111453
2017-09-18 18:58:00,0,0,0,0,98,120,0,0,218,0,0,218,50.6104770430996,227.535817123467,0.583425172111453
2017-09-18 18:59:00,0,0,0,0,98,120,0,0,218,0,0,218,50.6104770430996,227.535817123467,0.583425172111453
2017-09-18 19:00:00,0,0,0,0,98,120,0,0,218,0,0,218,50.8382660098026,227.61369573329,0.583624860854589
2017-09-18 19:01:00,0,0,0,0,98,120,0,0,218,0,0,218,50.6104770430996,227.535817123467,0.583425172111453
2017-09-18 19:02:00,0,0,0,0,98,120,0,0,218,0,0,218,50.8382660098026,227.61369573329,0.583624860854589
2017-09-18 19:03:00,0,0,0,0,98,120,0,0,218,0,0,218,50.8382660098026,227.61369573329,0.583624860854589
2017-09-18 19:04:00,0,0,0,0,98,120,0,0,218,0,0,218,50.8382660098026,227.61369573329,0.583624860854589
2017-09-18 19:05:00,0,0,0,0,98,120,0,0,218,0,0,218,50.8382660098026,227.61369573329,0.583624860854589
2017-09-18 19:06:00,0,0,0,0,98,120,0,0,218,0,0,218,50.8382660098026,227.61369573329,0.583624860854589
2017-09-18 19:07:00,0,0,0,0,98,120,0,0,218,0,0,218,50.8382660098026,227.61369573329,0.583624860854589
2017-09-18 19:08:00,0,0,0,0,98,120,0,0,218,0,0,218,50.6104770430996,227.535817123467,0.583425172111453
2017-09-18 19:09:00,0,0,0,0,98,120,0,0,218,0,0,218,50.3826876028699,227.458192824436,0.583226135447273
2017-09-18 19:10:00,0,0,0,0,98,120,0,0,218,0,0,218,49.9271455390595,227.303722684251,0.582830058164747
2017-09-18 19:11:00,0,0,0,0,98,120,0,0,218,0,0,218,49.4717203286479,227.150317309317,0.58243671104953
2017-09-18 19:12:00,0,0,0,0,98,120,0,0,218,0,0,218,49.2440785634303,227.074024339835,0.582241088050859
2017-09-18 19:13:00,0,0,0,0,98,120,0,0,218,0,0,218,49.0164993473852,226.998010288295,0.582046180226397
2017-09-18 19:14:00,0,0,0,0,98,120,0,0,218,0,0,218,48.5615774664682,226.846836923932,0.581658556215209
2017-09-18 19:15:00,0,0,0,0,98,120,0,0,218,0,0,218,48.3342605558643,226.771686896783,0.581465863837904
2017-09-18 19:16:00,0,0,0,0,98,120,0,0,218,0,0,218,47.8799833442666,226.62228429614,0.581082780246513
2017-09-18 19:17:00,0,0,0,0,98,120,76,0,294,0,0,294,47.6530522393876,300.646547931727,0.770888584440325
2017-09-18 19:18:00,0,0,0,0,98,120,76,0,294,0,0,294,47.4262799853073,300.587811674431,0.770737978652387
2017-09-18 19:19:00,0,0,0,0,98,120,76,0,294,0,0,294,47.1996828049531,300.529343868592,0.770588061201519
2017-09-18 19:20:00,0,0,0,0,98,120,76,0,294,0,0,294,46.9732776285414,300.471148784779,0.770438843037895
2017-09-18 19:21:00,0,0,0,0,98,120,76,0,294,0,0,294,46.7470821283771,300.413230815852,0.770290335425261
2017-09-18 19:22:00,0,0,0,0,98,120,76,0,294,0,0,294,46.2953947800513,300.298244439147,0.769995498561915
2017-09-18 19:23:00,0,0,0,0,98,120,76,0,294,0,0,294,46.0699423303839,300.2411854802,0.769849193538975
2017-09-18 19:24:00,0,0,0,0,98,120,76,0,294,0,0,294,45.844778439689,300.184422546769,0.769703647555818
2017-09-18 19:25:00,0,0,0,0,98,120,76,0,294,0,0,294,45.3954052712838,300.071805297708,0.76941488537874
2017-09-18 19:26:00,0,0,0,0,98,120,76,0,294,0,0,294,45.1712430171677,300.015961664571,0.769271696575822
2017-09-18 19:27:00,0,0,0,0,98,120,76,0,294,0,0,294,45.1712430171677,300.015961664571,0.769271696575822
2017-09-18 19:28:00,0,0,0,0,98,120,76,0,294,0,0,294,44.9474634794683,299.96043543887,0.769129321638128
2017-09-18 19:29:00,0,0,0,0,98,120,76,0,294,0,0,294,44.7240929801896,299.905232412911,0.768987775417722
