Time,BA1_CFM,BA2_CFM,BA3_CFM,BA4_CFM,TO1_CFM,LAU_CFM,RHD_CFM,CDR_CFM,QCFM_Exhaust,QCFM_Supply,QCFM_MVbalance,QCFM_MVunbalance,QCFM_Infiltration,QCFM_Total,ACH
2017-08-21 18:44:00,0,0,0,0,0,109,0,0,109,0,0,109,45.8179415339811,122.559693053731,0.257298165963047
2017-08-21 18:45:00,0,0,0,0,0,109,0,0,109,0,0,109,45.8179415339811,122.559693053731,0.257298165963047
2017-08-21 18:46:00,0,0,0,0,0,109,0,0,109,0,0,109,45.8179415339811,122.559693053731,0.257298165963047
2017-08-21 18:47:00,0,0,0,0,0,109,0,0,109,0,0,109,45.8179415339811,122.559693053731,0.257298165963047
2017-08-21 18:48:00,0,0,0,0,0,109,0,0,109,0,0,109,45.8179415339811,122.559693053731,0.257298165963047
2017-08-21 18:49:00,0,0,0,0,0,109,0,0,109,0,0,109,45.8179415339811,122.559693053731,0.257298165963047
2017-08-21 18:50:00,0,0,0,0,0,109,0,0,109,0,0,109,45.8179415339811,122.559693053731,0.257298165963047
2017-08-21 18:51:00,0,0,0,0,0,109,0,0,109,0,0,109,45.8179415339811,122.559693053731,0.257298165963047
2017-08-21 18:52:00,0,0,0,0,0,109,0,0,109,0,0,109,45.8179415339811,122.559693053731,0.257298165963047
2017-08-21 18:53:00,0,0,0,0,0,109,0,0,109,0,0,109,47.7281264586975,123.534558070263,0.259344768516997
2017-08-21 18:54:00,0,0,0,0,0,109,0,0,109,0,0,109,47.7281264586975,123.534558070263,0.259344768516997
2017-08-21 18:55:00,0,0,0,0,0,109,0,0,109,0,0,109,47.7281264586975,123.534558070263,0.259344768516997
2017-08-21 18:56:00,0,0,0,0,0,109,0,0,109,0,0,109,47.7281264586975,123.534558070263,0.259344768516997
2017-08-21 18:57:00,0,0,0,0,0,109,0,0,109,0,0,109,47.3470576837784,123.338254294782,0.258932654222776
2017-08-21 18:58:00,0,0,0,0,0,109,0,0,109,0,0,109,47.3470576837784,123.338254294782,0.258932654222776
2017-08-21 18:59:00,0,0,0,0,0,109,0,0,109,0,0,109,47.3470576837784,123.338254294782,0.258932654222776
2017-08-21 19:00:00,0,0,0,0,0,109,0,0,109,0,0,109,47.3470576837784,123.338254294782,0.258932654222776
2017-08-21 19:01:00,0,0,0,0,0,109,0,0,109,0,0,109,47.3470576837784,123.338254294782,0.258932654222776
2017-08-21 19:02:00,0,0,0,0,0,109,0,0,109,0,0,109,47.3470576837784,123.338254294782,0.258932654222776
2017-08-21 19:03:00,0,0,0,0,0,109,0,0,109,0,0,109,47.3470576837784,123.338254294782,0.258932654222776
2017-08-21 19:04:00,0,0,0,0,0,109,0,0,109,0,0,109,47.3470576837784,123.338254294782,0.258932654222776
2017-08-21 19:05:00,0,0,0,0,0,109,0,0,109,0,0,109,47.3470576837784,123.338254294782,0.258932654222776
2017-08-21 19:06:00,0,0,0,0,0,109,0,0,109,0,0,109,47.3470576837784,123.338254294782,0.258932654222776
2017-08-21 19:07:00,0,0,0,0,0,109,0,0,109,0,0,109,47.3470576837784,123.338254294782,0.258932654222776
2017-08-21 19:08:00,0,0,0,0,0,109,0,0,109,0,0,109,47.3470576837784,123.338254294782,0.258932654222776
2017-08-21 19:09:00,0,0,0,0,0,109,0,0,109,0,0,109,47.3470576837784,123.338254294782,0.258932654222776
