Time,BA1_CFM,TO1_CFM,BA2_CFM,BA3_CFM,BA4_CFM,BA5_CFM,BA6_CFM,LAU_CFM,RHD_CFM,CDR_CFM,QCFM_Exhaust,QCFM_Supply,QCFM_MVbalance,QCFM_MVunbalance,QCFM_Infiltration,QCFM_Total,ACH
2016-09-20 18:44:00,0,0,0,0,0,78,0,0,0,0,78,190,78,112,19.96057858,193.0192706,0.275610572
2016-09-20 18:45:00,0,0,0,0,0,78,0,0,0,0,78,190,78,112,28.80718955,195.8935497,0.279714731
2016-09-20 18:46:00,0,0,0,0,0,78,0,0,0,0,78,190,78,112,28.60371522,195.8189965,0.279608277
2016-09-20 18:47:00,0,0,0,0,0,78,0,0,0,0,78,190,78,112,28.60371522,195.8189965,0.279608277
2016-09-20 18:48:00,0,0,0,0,0,78,0,0,0,0,78,190,78,112,28.60371522,195.8189965,0.279608277
2016-09-20 18:49:00,0,0,0,0,0,78,0,0,0,0,78,190,78,112,28.60371522,195.8189965,0.279608277
2016-09-20 18:50:00,0,0,0,0,0,78,0,0,0,0,78,190,78,112,28.60371522,195.8189965,0.279608277
2016-09-20 18:51:00,0,0,0,0,0,78,0,0,0,0,78,190,78,112,28.60371522,195.8189965,0.279608277
2016-09-20 18:52:00,0,0,0,0,0,78,0,0,0,0,78,190,78,112,28.60371522,195.8189965,0.279608277
2016-09-20 18:53:00,0,0,0,0,0,78,0,0,0,0,78,190,78,112,28.60371522,195.8189965,0.279608277
2016-09-20 18:54:00,0,0,0,0,0,78,0,0,0,0,78,190,78,112,28.60371522,195.8189965,0.279608277
2016-09-20 18:55:00,0,0,0,0,0,78,0,0,0,0,78,190,78,112,28.39976053,195.7446423,0.279502107
2016-09-20 18:56:00,0,0,0,0,0,78,0,0,0,0,78,190,78,112,28.60371522,195.8189965,0.279608277
2016-09-20 18:57:00,0,0,0,0,0,78,0,0,0,0,78,190,78,112,28.60371522,195.8189965,0.279608277
2016-09-20 18:58:00,0,0,0,0,0,78,0,0,0,0,78,190,78,112,28.60371522,195.8189965,0.279608277
2016-09-20 18:59:00,0,0,0,0,0,78,0,0,0,0,78,190,78,112,28.60371522,195.8189965,0.279608277
2016-09-20 19:00:00,0,0,0,0,0,78,0,0,0,0,78,190,78,112,28.60371522,195.8189965,0.279608277
2016-09-20 19:01:00,0,0,0,0,0,78,0,0,0,0,78,190,78,112,28.60371522,195.8189965,0.279608277
2016-09-20 19:02:00,0,0,0,0,0,78,0,0,0,0,78,190,78,112,28.60371522,195.8189965,0.279608277
2016-09-20 19:03:00,0,0,0,0,0,78,0,0,0,0,78,190,78,112,28.39976053,195.7446423,0.279502107
2016-09-20 19:04:00,0,0,0,0,0,78,0,0,0,0,78,190,78,112,28.39976053,195.7446423,0.279502107
2016-09-20 19:05:00,0,0,0,0,0,78,0,0,0,0,78,190,78,112,28.19532415,195.6704909,0.279396227
2016-09-20 19:06:00,0,0,0,0,0,78,0,0,0,0,78,190,78,112,28.19532415,195.6704909,0.279396227
2016-09-20 19:07:00,0,0,0,0,0,78,0,0,0,0,78,190,78,112,27.99040489,195.5965462,0.279290642
2016-09-20 19:08:00,0,0,0,0,0,78,0,0,0,0,78,190,78,112,27.99040489,195.5965462,0.279290642
2016-09-20 19:09:00,0,0,0,0,0,78,0,0,0,0,78,190,78,112,27.78500174,195.5228123,0.279185358
2016-09-20 19:10:00,0,0,0,0,0,78,0,0,0,0,78,190,78,112,27.57911385,195.4492932,0.279080381
2016-09-20 19:11:00,0,0,0,0,0,78,0,0,0,0,78,190,78,112,27.3727406,195.3759934,0.278975716
2016-09-20 19:12:00,0,0,0,0,0,78,0,0,0,0,78,190,78,112,27.16588156,195.302917,0.278871371
2016-09-20 19:13:00,0,0,0,0,0,78,0,0,0,0,78,190,78,112,27.16588156,195.302917,0.278871371
2016-09-20 19:14:00,0,0,0,0,0,78,0,0,0,0,78,190,78,112,27.16588156,195.302917,0.278871371
2016-09-20 19:15:00,0,0,0,0,0,78,0,0,0,0,78,190,78,112,27.16588156,195.302917,0.278871371
2016-09-20 19:16:00,0,0,0,0,0,78,0,0,0,0,78,190,78,112,27.16588156,195.302917,0.278871371
2016-09-20 19:17:00,0,0,0,0,0,78,0,0,0,0,78,190,78,112,27.16588156,195.302917,0.278871371
2016-09-20 19:18:00,0,0,0,0,0,78,0,0,0,0,78,190,78,112,27.3727406,195.3759934,0.278975716
2016-09-20 19:19:00,0,0,0,0,0,78,0,0,0,0,78,190,78,112,27.3727406,195.3759934,0.278975716
2016-09-20 19:20:00,0,0,0,0,0,78,0,0,0,0,78,190,78,112,27.3727406,195.3759934,0.278975716
2016-09-20 19:21:00,0,0,0,0,0,78,0,0,0,0,78,190,78,112,27.3727406,195.3759934,0.278975716
2016-09-20 19:22:00,0,0,0,0,0,78,0,0,0,0,78,190,78,112,27.3727406,195.3759934,0.278975716
2016-09-20 19:23:00,0,0,0,0,0,78,0,0,0,0,78,190,78,112,27.57911385,195.4492932,0.279080381
2016-09-20 19:24:00,0,0,0,0,0,78,0,0,0,0,78,190,78,112,27.57911385,195.4492932,0.279080381
2016-09-20 19:25:00,0,0,0,0,0,78,0,0,0,0,78,190,78,112,27.57911385,195.4492932,0.279080381
2016-09-20 19:26:00,0,0,0,0,0,78,0,0,0,0,78,190,78,112,27.57911385,195.4492932,0.279080381
2016-09-20 19:27:00,0,0,0,0,0,78,0,0,0,0,78,190,78,112,27.3727406,195.3759934,0.278975716
2016-09-20 19:28:00,0,0,0,0,0,78,0,0,0,0,78,190,78,112,27.3727406,195.3759934,0.278975716
2016-09-20 19:29:00,0,0,0,0,0,78,0,0,0,0,78,190,78,112,27.3727406,195.3759934,0.278975716
