Time,BA1_CFM,TO1_CFM,BA2_CFM,BA3_CFM,BA4_CFM,LAU_CFM,RHD_CFM,CDR_CFM,QCFM_Exhaust,QCFM_Supply,QCFM_MVbalance,QCFM_MVunbalance,QCFM_Infiltration,QCFM_Total,ACH
2016-10-25 18:48:00,0,0,0,0,0,0,0,0,0,100,0,100,10.22851404,100.9491419,0.218150496
2016-10-25 18:49:00,0,0,0,0,0,0,0,0,0,100,0,100,10.22851404,100.9491419,0.218150496
2016-10-25 18:50:00,0,0,0,0,0,0,0,0,0,100,0,100,10.22851404,100.9491419,0.218150496
2016-10-25 18:51:00,0,0,0,0,0,0,0,0,0,100,0,100,10.22851404,100.9491419,0.218150496
2016-10-25 18:52:00,0,0,0,0,0,0,0,0,0,100,0,100,10.46427587,100.9912804,0.218241557
2016-10-25 18:53:00,0,0,0,0,0,0,0,0,0,100,0,100,10.46427587,100.9912804,0.218241557
2016-10-25 18:54:00,0,0,0,0,0,0,0,0,0,100,0,100,10.46427587,100.9912804,0.218241557
2016-10-25 18:55:00,0,0,0,0,0,0,0,0,0,100,0,100,10.46427587,100.9912804,0.218241557
2016-10-25 18:56:00,0,0,0,0,0,0,0,0,0,100,0,100,10.22851404,100.9491419,0.218150496
2016-10-25 18:57:00,0,0,0,0,0,0,0,0,0,100,0,100,10.22851404,100.9491419,0.218150496
2016-10-25 18:58:00,0,0,0,0,0,0,0,0,0,100,0,100,10.22851404,100.9491419,0.218150496
2016-10-25 18:59:00,0,0,0,0,0,0,0,0,0,100,0,100,10.46427587,100.9912804,0.218241557
2016-10-25 19:00:00,0,0,0,0,0,0,0,0,0,100,0,100,10.46427587,100.9912804,0.218241557
2016-10-25 19:01:00,0,0,0,0,0,0,0,0,0,100,0,100,10.22851404,100.9491419,0.218150496
2016-10-25 19:02:00,0,0,0,0,0,0,0,0,0,100,0,100,10.46427587,100.9912804,0.218241557
2016-10-25 19:03:00,0,0,0,0,0,0,0,0,0,100,0,100,10.22851404,100.9491419,0.218150496
2016-10-25 19:04:00,0,0,0,0,0,0,0,0,0,100,0,100,10.22851404,100.9491419,0.218150496
2016-10-25 19:05:00,0,0,0,0,0,0,0,0,0,100,0,100,10.46427587,100.9912804,0.218241557
2016-10-25 19:06:00,0,0,0,0,0,0,0,0,0,100,0,100,10.46427587,100.9912804,0.218241557
2016-10-25 19:07:00,0,0,0,0,0,0,0,0,0,100,0,100,10.22851404,100.9491419,0.218150496
2016-10-25 19:08:00,0,0,0,0,0,0,0,0,0,100,0,100,10.46427587,100.9912804,0.218241557
2016-10-25 19:09:00,0,0,0,0,0,0,0,0,0,100,0,100,10.46427587,100.9912804,0.218241557
2016-10-25 19:10:00,0,0,0,0,0,0,0,0,0,100,0,100,10.46427587,100.9912804,0.218241557
2016-10-25 19:11:00,0,0,0,0,0,0,0,0,0,100,0,100,10.22851404,100.9491419,0.218150496
2016-10-25 19:12:00,0,0,0,0,0,0,0,0,0,100,0,100,10.22851404,100.9491419,0.218150496
2016-10-25 19:13:00,0,0,0,0,0,0,0,0,0,100,0,100,10.22851404,100.9491419,0.218150496
2016-10-25 19:14:00,0,0,0,0,0,0,0,0,0,100,0,100,10.22851404,100.9491419,0.218150496
2016-10-25 19:15:00,0,0,0,0,0,0,0,0,0,100,0,100,10.22851404,100.9491419,0.218150496
2016-10-25 19:16:00,0,0,0,0,0,0,0,0,0,100,0,100,10.22851404,100.9491419,0.218150496
2016-10-25 19:17:00,0,0,0,0,0,0,0,0,0,100,0,100,10.22851404,100.9491419,0.218150496
2016-10-25 19:18:00,0,0,0,0,0,0,0,0,0,100,0,100,10.22851404,100.9491419,0.218150496
2016-10-25 19:19:00,0,0,0,0,0,0,0,0,0,100,0,100,10.22851404,100.9491419,0.218150496
2016-10-25 19:20:00,0,0,0,0,0,0,0,0,0,100,0,100,10.22851404,100.9491419,0.218150496
2016-10-25 19:21:00,0,0,0,0,0,0,0,0,0,100,0,100,10.22851404,100.9491419,0.218150496
2016-10-25 19:22:00,0,0,0,0,0,0,0,0,0,100,0,100,10.22851404,100.9491419,0.218150496
2016-10-25 19:23:00,0,0,0,0,0,0,0,0,0,100,0,100,10.22851404,100.9491419,0.218150496
2016-10-25 19:24:00,0,0,0,0,0,0,0,0,0,100,0,100,10.22851404,100.9491419,0.218150496
2016-10-25 19:25:00,0,0,0,0,0,0,0,0,0,100,0,100,10.22851404,100.9491419,0.218150496
2016-10-25 19:26:00,0,0,0,0,0,0,0,0,0,100,0,100,9.752131041,100.866535,0.217971983
2016-10-25 19:27:00,0,0,0,0,0,0,0,0,0,100,0,100,10.22851404,100.9491419,0.218150496
2016-10-25 19:28:00,0,0,0,0,0,0,0,0,0,100,0,100,10.22851404,100.9491419,0.218150496
2016-10-25 19:29:00,0,0,0,0,0,0,0,0,0,100,0,100,10.22851404,100.9491419,0.218150496
2016-10-25 19:30:00,0,0,0,0,0,0,0,0,0,100,0,100,10.22851404,100.9491419,0.218150496
2016-10-25 19:31:00,0,0,0,0,0,0,0,0,0,100,0,100,10.22851404,100.9491419,0.218150496
2016-10-25 19:32:00,0,0,0,0,0,0,0,0,0,100,0,100,10.22851404,100.9491419,0.218150496
2016-10-25 19:33:00,0,0,0,0,0,0,0,0,0,100,0,100,10.22851404,100.9491419,0.218150496
2016-10-25 19:34:00,0,0,0,0,0,0,0,0,0,100,0,100,10.22851404,100.9491419,0.218150496
2016-10-25 19:35:00,0,0,0,0,0,0,0,0,0,100,0,100,10.22851404,100.9491419,0.218150496
2016-10-25 19:36:00,0,0,0,0,0,0,0,0,0,100,0,100,10.22851404,100.9491419,0.218150496
2016-10-25 19:37:00,0,0,0,0,0,0,0,0,0,100,0,100,10.22851404,100.9491419,0.218150496
2016-10-25 19:38:00,0,0,0,0,0,0,0,0,0,100,0,100,10.22851404,100.9491419,0.218150496
2016-10-25 19:39:00,0,0,0,0,0,0,0,0,0,100,0,100,10.22851404,100.9491419,0.218150496
2016-10-25 19:40:00,0,0,0,0,0,0,0,0,0,100,0,100,10.22851404,100.9491419,0.218150496
2016-10-25 19:41:00,0,0,0,0,0,0,0,0,0,100,0,100,10.22851404,100.9491419,0.218150496
2016-10-25 19:42:00,0,0,0,0,0,0,0,0,0,100,0,100,10.22851404,100.9491419,0.218150496
2016-10-25 19:43:00,0,0,0,0,0,0,0,0,0,100,0,100,10.22851404,100.9491419,0.218150496
2016-10-25 19:44:00,0,0,0,0,0,0,0,0,0,100,0,100,10.22851404,100.9491419,0.218150496
2016-10-25 19:45:00,0,0,0,0,0,0,0,0,0,100,0,100,12.52226776,101.3935659,0.219110893
2016-10-25 19:46:00,0,0,0,0,0,0,0,0,0,100,0,100,12.52226776,101.3935659,0.219110893
2016-10-25 19:47:00,0,0,0,0,0,0,0,0,0,100,0,100,12.52226776,101.3935659,0.219110893
2016-10-25 19:48:00,0,0,0,0,0,0,0,0,0,100,0,100,12.52226776,101.3935659,0.219110893
2016-10-25 19:49:00,0,0,0,0,0,0,0,0,0,100,0,100,12.52226776,101.3935659,0.219110893
2016-10-25 19:50:00,0,0,0,0,0,0,0,0,0,100,0,100,12.52226776,101.3935659,0.219110893
2016-10-25 19:51:00,0,0,0,0,0,0,0,0,0,100,0,100,12.52226776,101.3935659,0.219110893
2016-10-25 19:52:00,0,0,0,0,0,0,0,0,0,100,0,100,12.74460016,101.440644,0.219212629
2016-10-25 19:53:00,0,0,0,0,0,0,0,0,0,100,0,100,12.74460016,101.440644,0.219212629
2016-10-25 19:54:00,0,0,0,0,0,0,0,0,0,100,0,100,12.52226776,101.3935659,0.219110893
2016-10-25 19:55:00,0,0,0,0,0,0,0,0,0,100,0,100,12.52226776,101.3935659,0.219110893
2016-10-25 19:56:00,0,0,0,0,0,0,0,0,0,100,0,100,12.52226776,101.3935659,0.219110893
2016-10-25 19:57:00,0,0,0,0,0,0,0,0,0,100,0,100,12.52226776,101.3935659,0.219110893
2016-10-25 19:58:00,0,0,0,0,0,0,0,0,0,100,0,100,12.74460016,101.440644,0.219212629
2016-10-25 19:59:00,0,0,0,0,0,0,0,0,0,100,0,100,12.52226776,101.3935659,0.219110893
2016-10-25 20:00:00,0,0,0,0,0,0,0,0,0,100,0,100,12.74460016,101.440644,0.219212629
2016-10-25 20:01:00,0,0,0,0,0,0,0,0,0,100,0,100,12.74460016,101.440644,0.219212629
2016-10-25 20:02:00,0,0,0,0,0,0,0,0,0,100,0,100,12.74460016,101.440644,0.219212629
2016-10-25 20:03:00,0,0,0,0,0,0,0,0,0,100,0,100,12.74460016,101.440644,0.219212629
2016-10-25 20:04:00,0,0,0,0,0,0,0,0,0,100,0,100,12.74460016,101.440644,0.219212629
2016-10-25 20:05:00,0,0,0,0,0,0,0,0,0,100,0,100,12.52226776,101.3935659,0.219110893
2016-10-25 20:06:00,0,0,0,0,0,0,0,0,0,100,0,100,12.74460016,101.440644,0.219212629
2016-10-25 20:07:00,0,0,0,0,0,0,0,0,0,100,0,100,12.74460016,101.440644,0.219212629
2016-10-25 20:08:00,0,0,0,0,0,0,0,0,0,100,0,100,12.74460016,101.440644,0.219212629
2016-10-25 20:09:00,0,0,0,0,0,0,0,0,0,100,0,100,12.74460016,101.440644,0.219212629
2016-10-25 20:10:00,0,0,0,0,0,0,0,0,0,100,0,100,12.74460016,101.440644,0.219212629
2016-10-25 20:11:00,0,0,0,0,0,0,0,0,0,100,0,100,12.74460016,101.440644,0.219212629
2016-10-25 20:12:00,0,0,0,0,0,0,0,0,0,100,0,100,12.52226776,101.3935659,0.219110893
2016-10-25 20:13:00,0,0,0,0,0,0,0,0,0,100,0,100,12.52226776,101.3935659,0.219110893
2016-10-25 20:14:00,0,0,0,0,0,0,0,0,0,100,0,100,12.52226776,101.3935659,0.219110893
2016-10-25 20:15:00,0,0,0,0,0,0,0,0,0,100,0,100,12.52226776,101.3935659,0.219110893
2016-10-25 20:16:00,0,0,0,0,0,0,0,0,0,100,0,100,12.52226776,101.3935659,0.219110893
2016-10-25 20:17:00,0,0,0,0,0,0,0,0,0,100,0,100,12.52226776,101.3935659,0.219110893
2016-10-25 20:18:00,0,0,0,0,0,0,0,0,0,100,0,100,12.52226776,101.3935659,0.219110893
2016-10-25 20:19:00,0,0,0,0,0,0,0,0,0,100,0,100,12.52226776,101.3935659,0.219110893
2016-10-25 20:20:00,0,0,0,0,0,0,0,0,0,100,0,100,12.52226776,101.3935659,0.219110893
2016-10-25 20:21:00,0,0,0,0,0,0,0,0,0,100,0,100,12.52226776,101.3935659,0.219110893
2016-10-25 20:22:00,0,0,0,0,0,0,0,0,0,100,0,100,12.52226776,101.3935659,0.219110893
2016-10-25 20:23:00,0,0,0,0,0,0,0,0,0,100,0,100,12.52226776,101.3935659,0.219110893
2016-10-25 20:24:00,0,0,0,0,0,0,0,0,0,100,0,100,12.52226776,101.3935659,0.219110893
2016-10-25 20:25:00,0,0,0,0,0,0,0,0,0,100,0,100,12.52226776,101.3935659,0.219110893
2016-10-25 20:26:00,0,0,0,0,0,0,0,0,0,100,0,100,12.29876649,101.3469396,0.219010134
2016-10-25 20:27:00,0,0,0,0,0,0,0,0,0,100,0,100,12.52226776,101.3935659,0.219110893
2016-10-25 20:28:00,0,0,0,0,0,0,0,0,0,100,0,100,12.52226776,101.3935659,0.219110893
2016-10-25 20:29:00,0,0,0,0,0,0,0,0,0,100,0,100,12.52226776,101.3935659,0.219110893
2016-10-25 20:30:00,0,0,0,0,0,0,0,0,0,100,0,100,12.52226776,101.3935659,0.219110893
2016-10-25 20:31:00,0,0,0,0,0,0,0,0,0,100,0,100,12.52226776,101.3935659,0.219110893
2016-10-25 20:32:00,0,0,0,0,0,0,0,0,0,100,0,100,12.52226776,101.3935659,0.219110893
2016-10-25 20:33:00,0,0,0,0,0,0,0,0,0,100,0,100,12.52226776,101.3935659,0.219110893
2016-10-25 20:34:00,0,0,0,0,0,0,0,0,0,100,0,100,12.52226776,101.3935659,0.219110893
2016-10-25 20:35:00,0,0,0,0,0,0,0,0,0,100,0,100,12.52226776,101.3935659,0.219110893
2016-10-25 20:36:00,0,0,0,0,0,0,0,0,0,100,0,100,12.52226776,101.3935659,0.219110893
2016-10-25 20:37:00,0,0,0,0,0,0,0,0,0,100,0,100,12.52226776,101.3935659,0.219110893
2016-10-25 20:38:00,0,0,0,0,0,0,0,0,0,100,0,100,12.52226776,101.3935659,0.219110893
2016-10-25 20:39:00,0,0,0,0,0,0,0,0,0,100,0,100,12.52226776,101.3935659,0.219110893
2016-10-25 20:40:00,0,0,0,0,0,0,0,0,0,100,0,100,12.52226776,101.3935659,0.219110893
2016-10-25 20:41:00,0,0,0,0,0,0,0,0,0,100,0,100,12.52226776,101.3935659,0.219110893
2016-10-25 20:42:00,0,0,0,0,0,0,0,0,0,100,0,100,12.52226776,101.3935659,0.219110893
2016-10-25 20:43:00,0,0,0,0,0,0,0,0,0,100,0,100,12.52226776,101.3935659,0.219110893
2016-10-25 20:44:00,0,0,0,0,0,0,0,0,0,100,0,100,12.52226776,101.3935659,0.219110893
2016-10-25 20:45:00,0,0,0,0,0,0,0,0,0,100,0,100,12.52226776,101.3935659,0.219110893
2016-10-25 20:46:00,0,0,0,0,0,0,0,0,0,100,0,100,12.52226776,101.3935659,0.219110893
2016-10-25 20:47:00,0,0,0,0,0,0,0,0,0,100,0,100,12.52226776,101.3935659,0.219110893
2016-10-25 20:48:00,0,0,0,0,0,0,0,0,0,100,0,100,12.52226776,101.3935659,0.219110893
2016-10-25 20:49:00,0,0,0,0,0,0,0,0,0,100,0,100,12.52226776,101.3935659,0.219110893
2016-10-25 20:50:00,0,0,0,0,0,0,0,0,0,100,0,100,12.52226776,101.3935659,0.219110893
2016-10-25 20:51:00,0,0,0,0,0,0,0,0,0,100,0,100,12.52226776,101.3935659,0.219110893
2016-10-25 20:52:00,0,0,0,0,0,0,0,0,0,100,0,100,12.52226776,101.3935659,0.219110893
2016-10-25 20:53:00,0,0,0,0,0,0,0,0,0,100,0,100,12.52226776,101.3935659,0.219110893
2016-10-25 20:54:00,0,0,0,0,0,0,0,0,0,100,0,100,12.52226776,101.3935659,0.219110893
2016-10-25 20:55:00,0,0,0,0,0,0,0,0,0,100,0,100,12.52226776,101.3935659,0.219110893
2016-10-25 20:56:00,0,0,0,0,0,0,0,0,0,100,0,100,12.52226776,101.3935659,0.219110893
2016-10-25 20:57:00,0,0,0,0,0,0,0,0,0,100,0,100,12.52226776,101.3935659,0.219110893
2016-10-25 20:58:00,0,0,0,0,0,0,0,0,0,100,0,100,12.52226776,101.3935659,0.219110893
2016-10-25 20:59:00,0,0,0,0,0,0,0,0,0,100,0,100,12.52226776,101.3935659,0.219110893
2016-10-25 21:00:00,0,0,0,0,0,0,0,0,0,100,0,100,12.52226776,101.3935659,0.219110893
2016-10-25 21:01:00,0,0,0,0,0,0,0,0,0,100,0,100,12.52226776,101.3935659,0.219110893
2016-10-25 21:02:00,0,0,0,0,0,0,0,0,0,100,0,100,12.52226776,101.3935659,0.219110893
2016-10-25 21:03:00,0,0,0,0,0,0,0,0,0,100,0,100,12.52226776,101.3935659,0.219110893
2016-10-25 21:04:00,0,0,0,0,0,0,0,0,0,100,0,100,12.29876649,101.3469396,0.219010134
2016-10-25 21:05:00,0,0,0,0,0,0,0,0,0,100,0,100,12.52226776,101.3935659,0.219110893
2016-10-25 21:06:00,0,0,0,0,0,0,0,0,0,100,0,100,12.29876649,101.3469396,0.219010134
2016-10-25 21:07:00,0,0,0,0,0,0,0,0,0,100,0,100,12.29876649,101.3469396,0.219010134
2016-10-25 21:08:00,0,0,0,0,0,0,0,0,0,100,0,100,12.29876649,101.3469396,0.219010134
2016-10-25 21:09:00,0,0,0,0,0,0,0,0,0,100,0,100,12.29876649,101.3469396,0.219010134
2016-10-25 21:10:00,0,0,0,0,0,0,0,0,0,100,0,100,12.29876649,101.3469396,0.219010134
2016-10-25 21:11:00,0,0,0,0,0,0,0,0,0,100,0,100,12.29876649,101.3469396,0.219010134
2016-10-25 21:12:00,0,0,0,0,0,0,0,0,0,100,0,100,12.29876649,101.3469396,0.219010134
2016-10-25 21:13:00,0,0,0,0,0,0,0,0,0,100,0,100,12.29876649,101.3469396,0.219010134
2016-10-25 21:14:00,0,0,0,0,0,0,0,0,0,100,0,100,12.29876649,101.3469396,0.219010134
2016-10-25 21:15:00,0,0,0,0,0,0,0,0,0,100,0,100,12.29876649,101.3469396,0.219010134
2016-10-25 21:16:00,0,0,0,0,0,0,0,0,0,100,0,100,12.29876649,101.3469396,0.219010134
2016-10-25 21:17:00,0,0,0,0,0,0,0,0,0,100,0,100,12.29876649,101.3469396,0.219010134
2016-10-25 21:18:00,0,0,0,0,0,0,0,0,0,100,0,100,12.29876649,101.3469396,0.219010134
2016-10-25 21:19:00,0,0,0,0,0,0,0,0,0,100,0,100,12.29876649,101.3469396,0.219010134
2016-10-25 21:20:00,0,0,0,0,0,0,0,0,0,100,0,100,12.29876649,101.3469396,0.219010134
