Time,BA1_CFM,TO1_CFM,BA2_CFM,BA4_CFM,LAU_CFM,RHD_CFM,CDR_CFM,QCFM_Exhaust,QCFM_Supply,QCFM_MVbalance,QCFM_MVunbalance,QCFM_Infiltration,QCFM_Total,ACH
2016-08-17 18:44:00,0,0,0,0,0,0,0,0,0,0,0,38.1649219405579,38.1649219405579,0.0776235700485924
2016-08-17 18:45:00,0,0,0,0,0,0,0,0,0,0,0,38.1649219405579,38.1649219405579,0.0776235700485924
2016-08-17 18:46:00,0,0,0,0,0,0,0,0,0,0,0,38.1649219405579,38.1649219405579,0.0776235700485924
2016-08-17 18:47:00,0,0,0,0,0,0,0,0,0,0,0,38.1649219405579,38.1649219405579,0.0776235700485924
2016-08-17 18:48:00,0,0,0,0,0,0,0,0,0,0,0,38.1649219405579,38.1649219405579,0.0776235700485924
2016-08-17 18:49:00,0,0,0,0,0,0,0,0,0,0,0,37.9049459803851,37.9049459803851,0.0770948053838341
2016-08-17 18:50:00,0,0,0,0,0,0,0,0,0,0,0,37.9049459803851,37.9049459803851,0.0770948053838341
2016-08-17 18:51:00,0,0,0,0,0,0,0,0,0,0,0,37.9049459803851,37.9049459803851,0.0770948053838341
2016-08-17 18:52:00,0,0,0,0,0,0,0,0,0,0,0,37.6441494183241,37.6441494183241,0.0765643716982863
2016-08-17 18:53:00,0,0,0,0,0,0,0,0,0,0,0,24.9276824690603,24.9276824690603,0.0507003711235125
2016-08-17 18:54:00,0,0,0,0,0,0,0,0,0,0,0,24.6214122008324,24.6214122008324,0.0500774485440659
2016-08-17 18:55:00,0,0,0,0,0,0,0,0,0,0,0,24.6214122008324,24.6214122008324,0.0500774485440659
2016-08-17 18:56:00,0,0,0,0,0,0,0,0,0,0,0,24.6214122008324,24.6214122008324,0.0500774485440659
2016-08-17 18:57:00,0,0,0,0,0,0,0,0,0,0,0,24.6214122008324,24.6214122008324,0.0500774485440659
2016-08-17 18:58:00,0,0,0,0,0,0,0,0,0,0,0,24.6214122008324,24.6214122008324,0.0500774485440659
2016-08-17 18:59:00,0,0,0,0,0,0,0,0,0,0,0,24.6214122008324,24.6214122008324,0.0500774485440659
2016-08-17 19:00:00,0,0,0,0,0,0,0,0,0,0,0,24.9276824690603,24.9276824690603,0.0507003711235125
2016-08-17 19:01:00,0,0,0,0,0,0,0,0,0,0,0,25.2329732565009,25.2329732565009,0.0513213015386459
2016-08-17 19:02:00,0,0,0,0,0,0,0,0,0,0,0,25.5372612118627,25.5372612118627,0.051940192295314
2016-08-17 19:03:00,0,0,0,0,0,0,0,0,0,0,0,25.5372612118627,25.5372612118627,0.051940192295314
2016-08-17 19:04:00,0,0,0,0,0,0,0,0,0,0,0,25.5372612118627,25.5372612118627,0.051940192295314
2016-08-17 19:05:00,0,0,0,0,0,0,0,0,0,0,0,25.5372612118627,25.5372612118627,0.051940192295314
2016-08-17 19:06:00,0,0,0,0,0,0,0,0,0,0,0,25.5372612118627,25.5372612118627,0.051940192295314
2016-08-17 19:07:00,0,0,0,0,0,0,0,0,0,0,0,25.5372612118627,25.5372612118627,0.051940192295314
2016-08-17 19:08:00,0,0,0,0,0,0,0,0,0,0,0,25.5372612118627,25.5372612118627,0.051940192295314
2016-08-17 19:09:00,0,0,0,0,0,0,0,0,0,0,0,25.5372612118627,25.5372612118627,0.051940192295314
2016-08-17 19:10:00,0,0,0,0,0,0,0,0,0,0,0,25.2329732565009,25.2329732565009,0.0513213015386459
2016-08-17 19:11:00,0,0,0,0,0,0,0,0,0,0,0,25.2329732565009,25.2329732565009,0.0513213015386459
2016-08-17 19:12:00,0,0,0,0,0,0,0,0,0,0,0,25.2329732565009,25.2329732565009,0.0513213015386459
2016-08-17 19:13:00,0,0,0,0,0,0,0,0,0,0,0,25.2329732565009,25.2329732565009,0.0513213015386459
2016-08-17 19:14:00,0,0,0,0,0,0,0,0,0,0,0,24.9276824690603,24.9276824690603,0.0507003711235125
2016-08-17 19:15:00,0,0,0,0,0,0,0,0,0,0,0,24.9276824690603,24.9276824690603,0.0507003711235125
2016-08-17 19:16:00,0,0,0,0,0,0,0,0,0,0,0,24.9276824690603,24.9276824690603,0.0507003711235125
2016-08-17 19:17:00,0,0,0,0,0,0,0,0,0,0,0,24.6214122008324,24.6214122008324,0.0500774485440659
2016-08-17 19:18:00,0,0,0,0,0,0,0,0,0,0,0,24.6214122008324,24.6214122008324,0.0500774485440659
2016-08-17 19:19:00,0,0,0,0,0,0,0,0,0,0,0,24.6214122008324,24.6214122008324,0.0500774485440659
2016-08-17 19:20:00,0,0,0,0,0,0,0,0,0,0,0,24.6214122008324,24.6214122008324,0.0500774485440659
2016-08-17 19:21:00,0,0,0,0,0,0,0,0,0,0,0,24.6214122008324,24.6214122008324,0.0500774485440659
2016-08-17 19:22:00,0,0,0,0,0,0,0,0,0,0,0,24.6214122008324,24.6214122008324,0.0500774485440659
2016-08-17 19:23:00,0,0,0,0,0,0,0,0,0,0,0,24.9276824690603,24.9276824690603,0.0507003711235125
2016-08-17 19:24:00,0,0,0,0,0,0,0,0,0,0,0,25.2329732565009,25.2329732565009,0.0513213015386459
2016-08-17 19:25:00,0,0,0,0,0,0,0,0,0,0,0,25.5372612118627,25.5372612118627,0.051940192295314
2016-08-17 19:26:00,0,0,0,0,0,0,0,0,0,0,0,25.8405268892555,25.8405268892555,0.0525570038425536
2016-08-17 19:27:00,0,0,0,0,0,0,0,0,0,0,0,25.8405268892555,25.8405268892555,0.0525570038425536
2016-08-17 19:28:00,0,0,0,0,0,0,0,0,0,0,0,25.5372612118627,25.5372612118627,0.051940192295314
2016-08-17 19:29:00,0,0,0,0,0,0,0,0,0,0,0,25.5372612118627,25.5372612118627,0.051940192295314
2016-08-17 19:30:00,0,0,0,0,0,0,0,0,0,0,0,25.5372612118627,25.5372612118627,0.051940192295314
2016-08-17 19:31:00,0,0,0,0,0,0,0,0,0,0,0,25.5372612118627,25.5372612118627,0.051940192295314
2016-08-17 19:32:00,0,0,0,0,0,0,0,0,0,0,0,25.5372612118627,25.5372612118627,0.051940192295314
2016-08-17 19:33:00,0,0,0,0,0,0,0,0,0,0,0,25.2329732565009,25.2329732565009,0.0513213015386459
2016-08-17 19:34:00,0,0,0,0,0,0,0,0,0,0,0,25.2329732565009,25.2329732565009,0.0513213015386459
2016-08-17 19:35:00,0,0,0,0,0,0,0,0,0,0,0,25.2329732565009,25.2329732565009,0.0513213015386459
2016-08-17 19:36:00,0,0,0,0,0,0,0,0,0,0,0,25.2329732565009,25.2329732565009,0.0513213015386459
2016-08-17 19:37:00,0,11,0,0,0,0,0,11,0,0,11,24.9276824690603,28.2955590390061,0.0575502895708598
2016-08-17 19:38:00,0,0,0,0,0,0,0,0,0,0,0,24.9276824690603,24.9276824690603,0.0507003711235125
2016-08-17 19:39:00,0,0,0,0,0,0,0,0,0,0,0,24.9276824690603,24.9276824690603,0.0507003711235125
2016-08-17 19:40:00,0,0,0,0,0,0,0,0,0,0,0,24.9276824690603,24.9276824690603,0.0507003711235125
2016-08-17 19:41:00,0,0,0,0,0,0,0,0,0,0,0,24.6214122008324,24.6214122008324,0.0500774485440659
2016-08-17 19:42:00,0,0,0,0,0,0,0,0,0,0,0,24.6214122008324,24.6214122008324,0.0500774485440659
2016-08-17 19:43:00,0,0,0,0,0,0,0,0,0,0,0,24.6214122008324,24.6214122008324,0.0500774485440659
2016-08-17 19:44:00,0,0,0,0,0,0,0,0,0,0,0,24.9276824690603,24.9276824690603,0.0507003711235125
2016-08-17 19:45:00,0,0,0,0,0,0,0,0,0,0,0,25.2329732565009,25.2329732565009,0.0513213015386459
2016-08-17 19:46:00,0,0,0,0,0,0,0,0,0,0,0,25.5372612118627,25.5372612118627,0.051940192295314
2016-08-17 19:47:00,0,0,0,0,0,0,0,0,0,0,0,25.5372612118627,25.5372612118627,0.051940192295314
2016-08-17 19:48:00,0,0,0,0,0,0,0,0,0,0,0,25.8405268892555,25.8405268892555,0.0525570038425536
2016-08-17 19:49:00,0,0,0,0,0,0,0,0,0,0,0,25.8405268892555,25.8405268892555,0.0525570038425536
2016-08-17 19:50:00,0,0,0,0,0,0,0,0,0,0,0,25.8405268892555,25.8405268892555,0.0525570038425536
2016-08-17 19:51:00,0,0,0,0,0,0,0,0,0,0,0,25.8405268892555,25.8405268892555,0.0525570038425536
2016-08-17 19:52:00,0,0,0,0,0,0,0,0,0,0,0,25.8405268892555,25.8405268892555,0.0525570038425536
2016-08-17 19:53:00,0,0,0,0,0,0,0,0,0,0,0,13.8318916266254,13.8318916266254,0.0281326609355093
2016-08-17 19:54:00,0,0,0,0,0,0,0,0,0,0,0,13.6040268468554,13.6040268468554,0.0276692071461466
2016-08-17 19:55:00,0,0,0,0,0,0,0,0,0,0,0,13.6040268468554,13.6040268468554,0.0276692071461466
2016-08-17 19:56:00,0,0,0,0,0,0,0,0,0,0,0,13.6040268468554,13.6040268468554,0.0276692071461466
2016-08-17 19:57:00,0,0,0,0,0,0,0,0,0,0,0,13.6040268468554,13.6040268468554,0.0276692071461466
2016-08-17 19:58:00,0,0,0,0,0,0,0,0,0,0,0,13.6040268468554,13.6040268468554,0.0276692071461466
2016-08-17 19:59:00,0,0,0,0,0,0,0,0,0,0,0,13.4441051942433,13.4441051942433,0.0273439427679525
2016-08-17 20:00:00,0,0,0,0,0,0,0,0,0,0,0,13.4441051942433,13.4441051942433,0.0273439427679525
2016-08-17 20:01:00,0,0,0,0,0,0,0,0,0,0,0,13.4441051942433,13.4441051942433,0.0273439427679525
2016-08-17 20:02:00,0,0,0,0,0,0,0,0,0,0,0,13.4441051942433,13.4441051942433,0.0273439427679525
2016-08-17 20:03:00,0,0,0,0,0,0,0,0,0,0,0,13.6040268468554,13.6040268468554,0.0276692071461466
2016-08-17 20:04:00,0,0,0,0,0,0,0,0,0,0,0,13.6040268468554,13.6040268468554,0.0276692071461466
2016-08-17 20:05:00,0,0,0,0,0,0,0,0,0,0,0,13.6040268468554,13.6040268468554,0.0276692071461466
2016-08-17 20:06:00,0,0,0,0,0,0,0,0,0,0,0,13.8318916266254,13.8318916266254,0.0281326609355093
2016-08-17 20:07:00,0,0,0,0,0,0,0,0,0,0,0,13.8318916266254,13.8318916266254,0.0281326609355093
2016-08-17 20:08:00,0,0,0,0,0,0,0,0,0,0,0,13.6040268468554,13.6040268468554,0.0276692071461466
2016-08-17 20:09:00,0,0,0,0,0,0,0,0,0,0,0,13.4441051942433,13.4441051942433,0.0273439427679525
