Time,BA1_CFM,BA2_CFM,BA3_CFM,TO1_CFM,LAU_CFM,RHD_CFM,CDR_CFM,QCFM_Exhaust,QCFM_Supply,QCFM_MVbalance,QCFM_MVunbalance,QCFM_Infiltration,QCFM_Total,ACH,
2017-11-07 18:49:00,0,0,0,0,73,0,0,73,0,0,73,35.47087759,84.59927148,0.213472802,
2017-11-07 18:50:00,0,0,0,0,73,0,0,73,0,0,73,35.82037308,84.79098262,0.213956555,
2017-11-07 18:51:00,0,0,0,0,73,0,0,73,0,0,73,35.82037308,84.79098262,0.213956555,
2017-11-07 18:52:00,0,0,0,0,73,0,0,73,0,0,73,35.82037308,84.79098262,0.213956555,
2017-11-07 18:53:00,0,0,0,0,73,0,0,73,0,0,73,45.07297328,90.20607912,0.227620689,
2017-11-07 18:54:00,0,0,0,0,73,0,0,73,0,0,73,45.07297328,90.20607912,0.227620689,
2017-11-07 18:55:00,0,0,0,0,73,0,0,73,0,0,73,45.07297328,90.20607912,0.227620689,
2017-11-07 18:56:00,0,0,0,0,73,0,0,73,0,0,73,45.07297328,90.20607912,0.227620689,
2017-11-07 18:57:00,0,0,0,0,73,0,0,73,0,0,73,45.07297328,90.20607912,0.227620689,
2017-11-07 18:58:00,0,0,0,0,73,0,0,73,0,0,73,45.07297328,90.20607912,0.227620689,
2017-11-07 18:59:00,0,0,0,0,73,0,0,73,0,0,73,45.07297328,90.20607912,0.227620689,
2017-11-07 19:00:00,0,0,0,0,73,0,0,73,0,0,73,45.07297328,90.20607912,0.227620689,
2017-11-07 19:01:00,0,0,0,0,73,0,0,73,0,0,73,45.07297328,90.20607912,0.227620689,
2017-11-07 19:02:00,0,0,0,0,73,0,0,73,0,0,73,45.07297328,90.20607912,0.227620689,
2017-11-07 19:03:00,0,0,0,0,73,0,0,73,0,0,73,45.07297328,90.20607912,0.227620689,
2017-11-07 19:04:00,0,0,0,0,73,0,0,73,0,0,73,45.07297328,90.20607912,0.227620689,
2017-11-07 19:05:00,0,0,0,0,73,0,0,73,0,0,73,45.07297328,90.20607912,0.227620689,
2017-11-07 19:06:00,0,0,0,0,73,0,0,73,0,0,73,45.07297328,90.20607912,0.227620689,
2017-11-07 19:07:00,0,0,0,0,73,0,0,73,0,0,73,45.07297328,90.20607912,0.227620689,
2017-11-07 19:08:00,0,0,0,0,73,0,0,73,0,0,73,45.07297328,90.20607912,0.227620689,
2017-11-07 19:09:00,0,0,0,0,73,0,0,73,0,0,73,45.07297328,90.20607912,0.227620689,
2017-11-07 19:10:00,0,0,0,0,73,0,0,73,0,0,73,45.07297328,90.20607912,0.227620689,
2017-11-07 19:11:00,0,0,0,0,73,0,0,73,0,0,73,45.07297328,90.20607912,0.227620689,
2017-11-07 19:12:00,0,0,0,0,73,0,0,73,0,0,73,45.07297328,90.20607912,0.227620689,
2017-11-07 19:13:00,0,0,0,0,73,0,0,73,0,0,73,45.07297328,90.20607912,0.227620689,
2017-11-07 19:14:00,0,0,0,0,73,0,0,73,0,0,73,45.07297328,90.20607912,0.227620689,
2017-11-07 19:15:00,0,0,0,0,73,0,0,73,0,0,73,45.07297328,90.20607912,0.227620689,
2017-11-07 19:16:00,0,0,0,0,73,0,0,73,0,0,73,45.07297328,90.20607912,0.227620689,
2017-11-07 19:17:00,0,0,0,0,73,0,0,73,0,0,73,45.07297328,90.20607912,0.227620689,
2017-11-07 19:18:00,0,0,0,0,73,0,0,73,0,0,73,45.07297328,90.20607912,0.227620689,
2017-11-07 19:19:00,0,0,0,0,73,0,0,73,0,0,73,45.07297328,90.20607912,0.227620689,
2017-11-07 19:20:00,0,0,0,0,73,0,0,73,0,0,73,45.07297328,90.20607912,0.227620689,
2017-11-07 19:21:00,0,0,0,0,73,0,0,73,0,0,73,45.3808809,90.39659593,0.228101428,
2017-11-07 19:22:00,0,0,0,0,73,0,0,73,0,0,73,45.3808809,90.39659593,0.228101428,
2017-11-07 19:23:00,0,0,0,0,73,0,0,73,0,0,73,45.3808809,90.39659593,0.228101428,
2017-11-07 19:24:00,0,0,0,0,73,0,0,73,0,0,73,45.3808809,90.39659593,0.228101428,
2017-11-07 19:25:00,0,0,0,0,73,0,0,73,0,0,73,45.3808809,90.39659593,0.228101428,
2017-11-07 19:26:00,0,0,0,0,73,0,0,73,0,0,73,45.3808809,90.39659593,0.228101428,
2017-11-07 19:27:00,0,0,0,0,73,0,0,73,0,0,73,45.3808809,90.39659593,0.228101428,
2017-11-07 19:28:00,0,0,0,0,73,0,0,73,0,0,73,45.3808809,90.39659593,0.228101428,
2017-11-07 19:29:00,0,0,0,0,73,0,0,73,0,0,73,45.3808809,90.39659593,0.228101428,
2017-11-07 19:30:00,0,0,0,0,73,0,0,73,0,0,73,45.3808809,90.39659593,0.228101428,
