Time,BA1_CFM,LAU_CFM,RHD_CFM,QCFM_Exhaust,QCFM_Supply,QCFM_MVbalance,QCFM_MVunbalance,QCFM_Infiltration,QCFM_Total,ACH
2017-11-11 18:00:00,54,0,0,54,0,0,54,22.9970273801264,60.8686193002145,0.676317992224606
2017-11-11 18:01:00,54,0,0,54,0,0,54,22.9970273801264,60.8686193002145,0.676317992224606
2017-11-11 18:02:00,54,0,0,54,0,0,54,22.9970273801264,60.8686193002145,0.676317992224606
2017-11-11 18:03:00,54,0,0,54,0,0,54,22.9970273801264,60.8686193002145,0.676317992224606
2017-11-11 18:04:00,54,0,0,54,0,0,54,22.8144237800694,60.7760442219401,0.675289380243779
2017-11-11 18:05:00,54,0,0,54,0,0,54,22.9970273801264,60.8686193002145,0.676317992224606
2017-11-11 18:06:00,54,0,0,54,0,0,54,22.9970273801264,60.8686193002145,0.676317992224606
2017-11-11 18:07:00,54,0,0,54,0,0,54,22.9970273801264,60.8686193002145,0.676317992224606
2017-11-11 18:08:00,54,0,0,54,0,0,54,22.9970273801264,60.8686193002145,0.676317992224606
2017-11-11 18:09:00,54,0,0,54,0,0,54,22.8144237800694,60.7760442219401,0.675289380243779
2017-11-11 18:10:00,54,0,0,54,0,0,54,22.9970273801264,60.8686193002145,0.676317992224606
2017-11-11 18:11:00,54,0,0,54,0,0,54,22.8144237800694,60.7760442219401,0.675289380243779
2017-11-11 18:12:00,54,0,0,54,0,0,54,22.8144237800694,60.7760442219401,0.675289380243779
2017-11-11 18:13:00,54,0,0,54,0,0,54,22.8144237800694,60.7760442219401,0.675289380243779
2017-11-11 18:14:00,54,0,0,54,0,0,54,22.8144237800694,60.7760442219401,0.675289380243779
2017-11-11 18:15:00,54,0,0,54,0,0,54,22.8144237800694,60.7760442219401,0.675289380243779
2017-11-11 18:16:00,54,0,0,54,0,0,54,22.8144237800694,60.7760442219401,0.675289380243779
2017-11-11 18:17:00,54,0,0,54,0,0,54,22.8144237800694,60.7760442219401,0.675289380243779
2017-11-11 18:18:00,54,0,0,54,0,0,54,22.8144237800694,60.7760442219401,0.675289380243779
2017-11-11 18:19:00,54,0,0,54,0,0,54,22.8144237800694,60.7760442219401,0.675289380243779
2017-11-11 18:20:00,54,0,0,54,0,0,54,22.8144237800694,60.7760442219401,0.675289380243779
2017-11-11 18:21:00,54,0,0,54,0,0,54,22.8144237800694,60.7760442219401,0.675289380243779
2017-11-11 18:22:00,54,0,0,54,0,0,54,22.8144237800694,60.7760442219401,0.675289380243779
2017-11-11 18:23:00,54,0,0,54,0,0,54,22.8144237800694,60.7760442219401,0.675289380243779
2017-11-11 18:24:00,54,0,0,54,0,0,54,22.8144237800694,60.7760442219401,0.675289380243779
2017-11-11 18:25:00,54,0,0,54,0,0,54,22.8144237800694,60.7760442219401,0.675289380243779
2017-11-11 18:26:00,54,0,0,54,0,0,54,22.6307198493302,60.6833442502673,0.674259380558526
2017-11-11 18:27:00,54,0,0,54,0,0,54,22.6307198493302,60.6833442502673,0.674259380558526
2017-11-11 18:28:00,54,0,0,54,0,0,54,22.6307198493302,60.6833442502673,0.674259380558526
2017-11-11 18:29:00,54,0,0,54,0,0,54,22.6307198493302,60.6833442502673,0.674259380558526
2017-11-11 18:30:00,54,0,0,54,0,0,54,22.6307198493302,60.6833442502673,0.674259380558526
2017-11-11 18:31:00,54,0,0,54,0,0,54,22.6307198493302,60.6833442502673,0.674259380558526
2017-11-11 18:32:00,54,0,0,54,0,0,54,22.6307198493302,60.6833442502673,0.674259380558526
2017-11-11 18:33:00,54,0,0,54,0,0,54,22.6307198493302,60.6833442502673,0.674259380558526
2017-11-11 18:34:00,54,0,0,54,0,0,54,22.6307198493302,60.6833442502673,0.674259380558526
2017-11-11 18:35:00,54,0,0,54,0,0,54,22.6307198493302,60.6833442502673,0.674259380558526
2017-11-11 18:36:00,54,0,0,54,0,0,54,22.6307198493302,60.6833442502673,0.674259380558526
2017-11-11 18:37:00,54,0,0,54,0,0,54,22.6307198493302,60.6833442502673,0.674259380558526
2017-11-11 18:38:00,54,0,0,54,0,0,54,22.6307198493302,60.6833442502673,0.674259380558526
2017-11-11 18:39:00,54,0,0,54,0,0,54,22.6307198493302,60.6833442502673,0.674259380558526
2017-11-11 18:40:00,54,0,0,54,0,0,54,22.6307198493302,60.6833442502673,0.674259380558526
2017-11-11 18:41:00,54,0,0,54,0,0,54,22.6307198493302,60.6833442502673,0.674259380558526
2017-11-11 18:42:00,54,0,0,54,0,0,54,22.6307198493302,60.6833442502673,0.674259380558526
2017-11-11 18:43:00,54,0,0,54,0,0,54,22.6307198493302,60.6833442502673,0.674259380558526
2017-11-11 18:44:00,54,0,0,54,0,0,54,22.6307198493302,60.6833442502673,0.674259380558526
2017-11-11 18:45:00,54,0,0,54,0,0,54,22.6307198493302,60.6833442502673,0.674259380558526
2017-11-11 18:46:00,54,0,0,54,0,0,54,22.6307198493302,60.6833442502673,0.674259380558526
2017-11-11 18:47:00,54,0,0,54,0,0,54,23.2218972313396,60.9832072295169,0.677591191439076
2017-11-11 18:48:00,54,0,0,54,0,0,54,23.0400032811751,60.890468958823,0.676560766209145
2017-11-11 18:49:00,54,0,0,54,0,0,54,23.2218972313396,60.9832072295169,0.677591191439076
