Time,BA1_CFM,BA2_CFM,TO1_CFM,LAU_CFM,RHD_CFM,CDR_CFM,QCFM_Exhaust,QCFM_Supply,QCFM_MVbalance,QCFM_MVunbalance,QCFM_Infiltration,QCFM_Total,ACH
2017-11-08 18:00:00,0,0,0,0,NA,0,0,0,0,0,10.2500446422454,10.2500446422454,0.0323685620281434
2017-11-08 18:01:00,0,0,0,0,NA,0,0,0,0,0,10.2500446422454,10.2500446422454,0.0323685620281434
2017-11-08 18:02:00,0,0,0,0,NA,0,0,0,0,0,10.2500446422454,10.2500446422454,0.0323685620281434
2017-11-08 18:03:00,0,0,0,0,NA,0,0,0,0,0,10.2500446422454,10.2500446422454,0.0323685620281434
2017-11-08 18:04:00,0,0,0,0,NA,0,0,0,0,0,10.5423825933767,10.5423825933767,0.0332917345054001
2017-11-08 18:05:00,0,0,0,0,NA,0,0,0,0,0,10.5423825933767,10.5423825933767,0.0332917345054001
2017-11-08 18:06:00,0,0,0,0,NA,0,0,0,0,0,10.5423825933767,10.5423825933767,0.0332917345054001
2017-11-08 18:07:00,0,0,0,0,NA,0,0,0,0,0,10.5423825933767,10.5423825933767,0.0332917345054001
2017-11-08 18:08:00,0,0,0,0,NA,0,0,0,0,0,10.5423825933767,10.5423825933767,0.0332917345054001
2017-11-08 18:09:00,0,0,0,0,NA,0,0,0,0,0,10.5423825933767,10.5423825933767,0.0332917345054001
2017-11-08 18:10:00,0,0,0,0,NA,0,0,0,0,0,10.5423825933767,10.5423825933767,0.0332917345054001
2017-11-08 18:11:00,0,0,0,0,NA,0,0,0,0,0,10.5423825933767,10.5423825933767,0.0332917345054001
2017-11-08 18:12:00,0,0,0,0,NA,0,0,0,0,0,10.5423825933767,10.5423825933767,0.0332917345054001
2017-11-08 18:13:00,0,0,0,0,NA,0,0,0,0,0,10.5423825933767,10.5423825933767,0.0332917345054001
2017-11-08 18:14:00,0,0,0,0,NA,0,0,0,0,0,10.5423825933767,10.5423825933767,0.0332917345054001
2017-11-08 18:15:00,0,0,0,0,NA,0,0,0,0,0,10.5423825933767,10.5423825933767,0.0332917345054001
2017-11-08 18:16:00,0,72,0,0,NA,0,72,0,0,72,10.5423825933767,73.3464819799623,0.231620469410407
2017-11-08 18:17:00,0,72,0,0,NA,0,72,0,0,72,10.5423825933767,73.3464819799623,0.231620469410407
2017-11-08 18:18:00,0,72,0,0,NA,0,72,0,0,72,10.5423825933767,73.3464819799623,0.231620469410407
2017-11-08 18:19:00,0,72,0,0,NA,0,72,0,0,72,10.5423825933767,73.3464819799623,0.231620469410407
2017-11-08 18:20:00,0,72,0,0,NA,0,72,0,0,72,10.5423825933767,73.3464819799623,0.231620469410407
2017-11-08 18:21:00,0,72,0,0,NA,0,72,0,0,72,10.5423825933767,73.3464819799623,0.231620469410407
2017-11-08 18:22:00,0,72,0,0,NA,0,72,0,0,72,10.8306886134704,73.4161878623194,0.23184059324943
2017-11-08 18:23:00,0,72,0,0,NA,0,72,0,0,72,10.5423825933767,73.3464819799623,0.231620469410407
2017-11-08 18:24:00,0,72,0,0,NA,0,72,0,0,72,10.5423825933767,73.3464819799623,0.231620469410407
2017-11-08 18:25:00,0,72,0,0,NA,0,72,0,0,72,10.5423825933767,73.3464819799623,0.231620469410407
2017-11-08 18:26:00,0,72,0,0,NA,0,72,0,0,72,10.8306886134704,73.4161878623194,0.23184059324943
2017-11-08 18:27:00,0,72,0,0,NA,0,72,0,0,72,10.5423825933767,73.3464819799623,0.231620469410407
2017-11-08 18:28:00,0,72,0,0,NA,0,72,0,0,72,10.8306886134704,73.4161878623194,0.23184059324943
2017-11-08 18:29:00,0,72,0,0,NA,0,72,0,0,72,10.5423825933767,73.3464819799623,0.231620469410407
2017-11-08 18:30:00,0,72,0,0,NA,0,72,0,0,72,10.5423825933767,73.3464819799623,0.231620469410407
2017-11-08 18:31:00,0,72,0,0,NA,0,72,0,0,72,10.8306886134704,73.4161878623194,0.23184059324943
2017-11-08 18:32:00,0,72,0,0,NA,0,72,0,0,72,10.8306886134704,73.4161878623194,0.23184059324943
2017-11-08 18:33:00,0,72,0,0,NA,0,72,0,0,72,10.5423825933767,73.3464819799623,0.231620469410407
2017-11-08 18:34:00,0,72,0,0,NA,0,72,0,0,72,10.8306886134704,73.4161878623194,0.23184059324943
2017-11-08 18:35:00,0,72,0,0,NA,0,72,0,0,72,10.8306886134704,73.4161878623194,0.23184059324943
2017-11-08 18:36:00,0,72,0,0,NA,0,72,0,0,72,10.5423825933767,73.3464819799623,0.231620469410407
