Time,BA1_CFM,BA2_CFM,BA3_CFM,TO1_CFM,LAU_CFM,RHD2_CFM,RHD_CFM,CDR_CFM,QCFM_Exhaust,QCFM_Supply,QCFM_MVbalance,QCFM_MVunbalance,QCFM_Infiltration,QCFM_Total,ACH
2017-09-05 18:00:00,0,0,0,0,90,0,0,0,90,0,0,90,81.2481379132595,128.547922300421,0.28566204955649
2017-09-05 18:01:00,0,0,0,0,90,0,0,0,90,0,0,90,81.4779775000616,128.714363875082,0.286031919722405
2017-09-05 18:02:00,0,0,0,0,90,0,0,0,90,0,0,90,81.4779775000616,128.714363875082,0.286031919722405
2017-09-05 18:03:00,0,0,0,0,90,0,0,0,90,0,0,90,81.4779775000616,128.714363875082,0.286031919722405
2017-09-05 18:04:00,0,0,0,0,90,0,0,0,90,0,0,90,81.7077401535654,128.880919375165,0.286402043055922
2017-09-05 18:05:00,0,0,0,0,90,0,0,0,90,0,0,90,81.7077401535654,128.880919375165,0.286402043055922
2017-09-05 18:06:00,0,0,0,0,90,0,0,0,90,0,0,90,81.9374198128422,129.047583550422,0.286772407889827
2017-09-05 18:07:00,0,0,0,0,90,0,0,0,90,0,0,90,81.7077401535654,128.880919375165,0.286402043055922
2017-09-05 18:08:00,0,0,0,0,90,0,0,0,90,0,0,90,81.9374198128422,129.047583550422,0.286772407889827
2017-09-05 18:09:00,0,0,0,0,90,0,0,0,90,0,0,90,82.1670106564611,129.214351311998,0.287143002915551
2017-09-05 18:10:00,0,0,0,0,90,0,0,0,90,0,0,90,82.3965070923643,129.381217726091,0.287513817169092
2017-09-05 18:11:00,0,0,0,0,90,0,0,0,90,0,0,90,82.3965070923643,129.381217726091,0.287513817169092
2017-09-05 18:12:00,0,0,0,0,90,0,0,0,90,0,0,90,82.3965070923643,129.381217726091,0.287513817169092
2017-09-05 18:13:00,0,0,0,0,90,0,0,0,90,0,0,90,82.3965070923643,129.381217726091,0.287513817169092
2017-09-05 18:14:00,0,0,0,0,90,0,0,0,90,0,0,90,82.6259037482621,129.548178007936,0.287884840017635
2017-09-05 18:15:00,0,0,0,0,90,0,0,0,90,0,0,90,82.6259037482621,129.548178007936,0.287884840017635
2017-09-05 18:16:00,0,0,0,0,90,0,0,0,90,0,0,90,82.6259037482621,129.548178007936,0.287884840017635
2017-09-05 18:17:00,0,0,0,0,90,0,0,0,90,0,0,90,82.8551954625155,129.715227516088,0.288256061146862
2017-09-05 18:18:00,0,0,0,0,90,0,0,0,90,0,0,90,82.8551954625155,129.715227516088,0.288256061146862
2017-09-05 18:19:00,0,0,0,0,90,0,0,0,90,0,0,90,82.8551954625155,129.715227516088,0.288256061146862
2017-09-05 18:20:00,0,0,0,0,90,0,0,0,90,0,0,90,83.0843772754755,129.882361746993,0.288627470548874
2017-09-05 18:21:00,0,0,0,0,90,0,0,0,90,0,0,90,83.0843772754755,129.882361746993,0.288627470548874
2017-09-05 18:22:00,0,0,0,0,90,0,0,0,90,0,0,90,83.0843772754755,129.882361746993,0.288627470548874
2017-09-05 18:23:00,0,0,0,0,90,0,0,0,90,0,0,90,83.313444421252,130.049576329821,0.288999058510712
2017-09-05 18:24:00,0,0,0,0,90,0,0,0,90,0,0,90,83.313444421252,130.049576329821,0.288999058510712
2017-09-05 18:25:00,0,0,0,0,90,0,0,0,90,0,0,90,83.313444421252,130.049576329821,0.288999058510712
2017-09-05 18:26:00,0,0,0,0,90,0,0,0,90,0,0,90,83.5423923198852,130.216867021545,0.289370815603433
2017-09-05 18:27:00,0,0,0,0,90,0,0,0,90,0,0,90,83.5423923198852,130.216867021545,0.289370815603433
2017-09-05 18:28:00,0,0,0,0,90,0,0,0,90,0,0,90,83.7712165698974,130.384229702264,0.289742732671698
2017-09-05 18:29:00,0,0,0,0,90,0,0,0,90,0,0,90,83.7712165698974,130.384229702264,0.289742732671698
2017-09-05 18:30:00,0,0,0,0,90,0,0,0,90,0,0,90,83.7712165698974,130.384229702264,0.289742732671698
2017-09-05 18:31:00,0,0,0,0,90,0,0,0,90,0,0,90,83.7712165698974,130.384229702264,0.289742732671698
2017-09-05 18:32:00,0,0,0,0,90,0,0,0,90,0,0,90,83.9999129412004,130.551660370736,0.290114800823858
2017-09-05 18:33:00,0,0,0,0,90,0,0,0,90,0,0,90,83.9999129412004,130.551660370736,0.290114800823858
2017-09-05 18:34:00,0,0,0,0,90,0,0,0,90,0,0,90,83.9999129412004,130.551660370736,0.290114800823858
2017-09-05 18:35:00,0,0,0,0,90,0,0,0,90,0,0,90,83.9999129412004,130.551660370736,0.290114800823858
2017-09-05 18:36:00,0,0,0,0,90,0,0,0,90,0,0,90,84.2284773683404,130.719155140124,0.290487011422498
2017-09-05 18:37:00,0,0,0,0,90,0,0,0,90,0,0,90,84.2284773683404,130.719155140124,0.290487011422498
2017-09-05 18:38:00,0,0,0,0,90,0,0,0,90,0,0,90,84.2284773683404,130.719155140124,0.290487011422498
2017-09-05 18:39:00,0,0,0,0,90,0,0,0,90,0,0,90,84.4569059440591,130.886710233935,0.290859356075412
2017-09-05 18:40:00,0,0,0,0,90,0,0,0,90,0,0,90,84.4569059440591,130.886710233935,0.290859356075412
2017-09-05 18:41:00,0,0,0,0,90,0,0,0,90,0,0,90,84.4569059440591,130.886710233935,0.290859356075412
2017-09-05 18:42:00,0,0,0,0,90,0,0,0,90,0,0,90,84.4569059440591,130.886710233935,0.290859356075412
2017-09-05 18:43:00,0,0,0,0,90,0,0,0,90,0,0,90,84.6851949131538,131.054321982148,0.291231826626995
2017-09-05 18:44:00,0,0,0,0,90,0,0,0,90,0,0,90,84.4569059440591,130.886710233935,0.290859356075412
2017-09-05 18:45:00,0,0,0,0,90,0,0,0,90,0,0,90,84.6851949131538,131.054321982148,0.291231826626995
2017-09-05 18:46:00,0,0,0,0,90,0,0,0,90,0,0,90,84.91334066662,131.221986817507,0.291604415150015
2017-09-05 18:47:00,0,0,0,0,90,0,0,0,90,0,0,90,84.91334066662,131.221986817507,0.291604415150015
2017-09-05 18:48:00,0,0,0,0,90,0,0,0,90,0,0,90,84.6851949131538,131.054321982148,0.291231826626995
2017-09-05 18:49:00,0,0,0,0,90,0,0,0,90,0,0,90,84.91334066662,131.221986817507,0.291604415150015
