Time,BA1_CFM,BA2_CFM,BA3_CFM,TO1_CFM,BA4_CFM,RHD_CFM,CDR_CFM,QCFM_Exhaust,QCFM_Supply,QCFM_MVbalance,QCFM_MVunbalance,QCFM_Infiltration,QCFM_Total,ACH
2017-07-12 18:46:00,0,0,94,0,0,0,0,94,0,0,94,71.656182925704,124.995574453051,0.201119186569672
2017-07-12 18:47:00,0,0,94,0,0,0,0,94,0,0,94,71.656182925704,124.995574453051,0.201119186569672
2017-07-12 18:48:00,0,0,94,0,0,0,0,94,0,0,94,71.656182925704,124.995574453051,0.201119186569672
2017-07-12 18:49:00,0,0,94,0,0,0,0,94,0,0,94,71.9130937355491,125.169891020541,0.201399663749865
2017-07-12 18:50:00,0,0,94,0,0,0,0,94,0,0,94,71.9130937355491,125.169891020541,0.201399663749865
2017-07-12 18:51:00,0,0,94,0,0,0,0,94,0,0,94,71.9130937355491,125.169891020541,0.201399663749865
2017-07-12 18:52:00,0,0,94,0,0,0,0,94,0,0,94,71.9130937355491,125.169891020541,0.201399663749865
2017-07-12 18:53:00,94,0,94,0,0,0,0,188,0,0,188,72.170065575801,208.019668110888,0.334705821578259
2017-07-12 18:54:00,94,0,94,0,0,0,0,188,0,0,188,72.170065575801,208.019668110888,0.334705821578259
2017-07-12 18:55:00,94,0,94,0,0,0,0,188,0,0,188,72.170065575801,208.019668110888,0.334705821578259
2017-07-12 18:56:00,94,0,94,0,0,0,0,188,0,0,188,63.5496078733041,204.054696705728,0.328326141119434
2017-07-12 18:57:00,94,0,94,0,0,0,0,188,0,0,188,63.5496078733041,204.054696705728,0.328326141119434
2017-07-12 18:58:00,94,0,94,0,0,0,0,188,0,0,188,63.5496078733041,204.054696705728,0.328326141119434
2017-07-12 18:59:00,94,0,94,0,0,0,0,188,0,0,188,63.2723095105134,203.932456539254,0.32812945541312
2017-07-12 19:00:00,0,0,94,0,0,0,0,94,0,0,94,63.2723095105134,119.455117707969,0.192204533721591
2017-07-12 19:01:00,0,0,94,0,0,0,0,94,0,0,94,62.9951218654677,119.277125376199,0.191918142198229
2017-07-12 19:02:00,0,0,94,0,0,0,0,94,0,0,94,62.9951218654677,119.277125376199,0.191918142198229
2017-07-12 19:03:00,0,0,94,0,0,0,0,94,0,0,94,62.9951218654677,119.277125376199,0.191918142198229
2017-07-12 19:04:00,0,0,94,0,0,0,0,94,0,0,94,62.9951218654677,119.277125376199,0.191918142198229
2017-07-12 19:05:00,0,0,94,0,0,0,0,94,0,0,94,62.9951218654677,119.277125376199,0.191918142198229
2017-07-12 19:06:00,0,0,94,0,0,0,0,94,0,0,94,62.9951218654677,119.277125376199,0.191918142198229
2017-07-12 19:07:00,0,0,94,0,0,0,0,94,0,0,94,62.9951218654677,119.277125376199,0.191918142198229
2017-07-12 19:08:00,0,0,94,0,0,0,0,94,0,0,94,62.9951218654677,119.277125376199,0.191918142198229
2017-07-12 19:09:00,0,0,94,0,0,0,0,94,0,0,94,63.2723095105134,119.455117707969,0.192204533721591
2017-07-12 19:10:00,0,0,94,0,0,0,0,94,0,0,94,63.2723095105134,119.455117707969,0.192204533721591
2017-07-12 19:11:00,0,0,94,0,0,0,0,94,0,0,94,63.2723095105134,119.455117707969,0.192204533721591
2017-07-12 19:12:00,0,0,94,0,0,0,0,94,0,0,94,63.2723095105134,119.455117707969,0.192204533721591
2017-07-12 19:13:00,0,0,94,0,0,0,0,94,0,0,94,63.5496078733041,119.633530386812,0.192491601587791
2017-07-12 19:14:00,0,0,94,0,0,0,0,94,0,0,94,63.2723095105134,119.455117707969,0.192204533721591
2017-07-12 19:15:00,94,0,94,0,0,0,0,188,0,0,188,63.2723095105134,203.932456539254,0.32812945541312
2017-07-12 19:16:00,94,0,94,0,0,0,0,188,0,0,188,63.2723095105134,203.932456539254,0.32812945541312
2017-07-12 19:17:00,94,0,94,0,0,0,0,188,0,0,188,63.2723095105134,203.932456539254,0.32812945541312
2017-07-12 19:18:00,94,0,94,0,0,0,0,188,0,0,188,62.9951218654677,203.810607590104,0.327933399179571
2017-07-12 19:19:00,94,0,94,0,0,0,0,188,0,0,188,62.9951218654677,203.810607590104,0.327933399179571
2017-07-12 19:20:00,94,0,94,0,0,0,0,188,0,0,188,62.9951218654677,203.810607590104,0.327933399179571
2017-07-12 19:21:00,94,0,94,0,0,0,0,188,0,0,188,62.9951218654677,203.810607590104,0.327933399179571
2017-07-12 19:22:00,94,0,94,0,0,0,0,188,0,0,188,62.7180683390345,203.689160826098,0.327737990066127
2017-07-12 19:23:00,0,0,94,0,0,0,0,94,0,0,94,62.7180683390345,119.099569806273,0.19163245342924
2017-07-12 19:24:00,0,0,94,0,0,0,0,94,0,0,94,62.9951218654677,119.277125376199,0.191918142198229
2017-07-12 19:25:00,0,0,94,0,0,0,0,94,0,0,94,62.9951218654677,119.277125376199,0.191918142198229
2017-07-12 19:26:00,0,0,94,0,0,0,0,94,0,0,94,62.9951218654677,119.277125376199,0.191918142198229
2017-07-12 19:27:00,0,0,94,0,0,0,0,94,0,0,94,62.9951218654677,119.277125376199,0.191918142198229
2017-07-12 19:28:00,0,0,94,0,0,0,0,94,0,0,94,62.9951218654677,119.277125376199,0.191918142198229
2017-07-12 19:29:00,0,0,94,0,0,0,0,94,0,0,94,63.2723095105134,119.455117707969,0.192204533721591
2017-07-12 19:30:00,0,0,94,0,0,0,0,94,0,0,94,63.2723095105134,119.455117707969,0.192204533721591
2017-07-12 19:31:00,0,0,94,0,0,0,0,94,0,0,94,63.2723095105134,119.455117707969,0.192204533721591
2017-07-12 19:32:00,0,0,94,0,0,0,0,94,0,0,94,63.2723095105134,119.455117707969,0.192204533721591
2017-07-12 19:33:00,0,0,94,0,0,0,0,94,0,0,94,63.2723095105134,119.455117707969,0.192204533721591
2017-07-12 19:34:00,0,0,94,0,0,0,0,94,0,0,94,63.2723095105134,119.455117707969,0.192204533721591
2017-07-12 19:35:00,0,0,94,0,0,0,0,94,0,0,94,62.9951218654677,119.277125376199,0.191918142198229
2017-07-12 19:36:00,0,0,94,0,0,0,0,94,0,0,94,62.9951218654677,119.277125376199,0.191918142198229
2017-07-12 19:37:00,0,0,94,0,0,0,0,94,0,0,94,62.9951218654677,119.277125376199,0.191918142198229
2017-07-12 19:38:00,94,0,94,0,0,0,0,188,0,0,188,62.9951218654677,203.810607590104,0.327933399179571
2017-07-12 19:39:00,94,0,94,0,0,0,0,188,0,0,188,62.7180683390345,203.689160826098,0.327737990066127
2017-07-12 19:40:00,94,0,94,0,0,0,0,188,0,0,188,62.7180683390345,203.689160826098,0.327737990066127
2017-07-12 19:41:00,94,0,94,0,0,0,0,188,0,0,188,62.4411735947261,203.568127652189,0.327543246423474
2017-07-12 19:42:00,94,0,94,0,0,0,0,188,0,0,188,62.7180683390345,203.689160826098,0.327737990066127
2017-07-12 19:43:00,94,0,94,0,0,0,0,188,0,0,188,62.7180683390345,203.689160826098,0.327737990066127
2017-07-12 19:44:00,94,0,94,0,0,0,0,188,0,0,188,62.7180683390345,203.689160826098,0.327737990066127
2017-07-12 19:45:00,0,0,94,0,0,0,0,94,0,0,94,62.7180683390345,119.099569806273,0.19163245342924
2017-07-12 19:46:00,0,0,94,0,0,0,0,94,0,0,94,62.9951218654677,119.277125376199,0.191918142198229
2017-07-12 19:47:00,0,0,94,0,0,0,0,94,0,0,94,62.9951218654677,119.277125376199,0.191918142198229
2017-07-12 19:48:00,0,0,94,0,0,0,0,94,0,0,94,62.9951218654677,119.277125376199,0.191918142198229
2017-07-12 19:49:00,0,0,94,0,0,0,0,94,0,0,94,62.9951218654677,119.277125376199,0.191918142198229
2017-07-12 19:50:00,0,0,94,0,0,109,0,203,0,0,203,63.2723095105134,218.034928559239,0.350820480384938
2017-07-12 19:51:00,0,0,94,0,0,109,0,203,0,0,203,62.9951218654677,217.919015623347,0.350633975258805
2017-07-12 19:52:00,0,0,94,0,0,109,0,203,0,0,203,62.9951218654677,217.919015623347,0.350633975258805
2017-07-12 19:53:00,0,0,94,0,0,109,0,203,0,0,203,62.9951218654677,217.919015623347,0.350633975258805
2017-07-12 19:54:00,0,0,94,0,0,109,0,203,0,0,203,62.9951218654677,217.919015623347,0.350633975258805
2017-07-12 19:55:00,0,0,94,0,0,79,0,173,0,0,173,62.9951218654677,189.815539861486,0.305415188835859
2017-07-12 19:56:00,0,0,94,0,0,0,0,94,0,0,94,51.474771372782,112.213825413689,0.180553218686547
2017-07-12 19:57:00,0,0,94,0,0,109,0,203,0,0,203,51.474771372782,213.412238799102,0.343382524214162
2017-07-12 19:58:00,0,0,94,0,0,0,0,94,0,0,94,51.474771372782,112.213825413689,0.180553218686547
2017-07-12 19:59:00,0,0,94,0,0,109,0,203,0,0,203,51.474771372782,213.412238799102,0.343382524214162
2017-07-12 20:00:00,94,0,94,0,0,79,0,267,0,0,267,51.1838808845823,275.233571276847,0.442853694733463
2017-07-12 20:01:00,94,0,94,0,0,0,0,188,0,0,188,51.474771372782,199.064431015806,0.320296751433317
