Time,BA1_CFM,BA2_CFM,BA3_CFM,TO1_CFM,BA4_CFM,LAU_CFM,RHD_CFM,CDR_CFM,QCFM_Exhaust,QCFM_Supply,QCFM_MVbalance,QCFM_MVunbalance,QCFM_Infiltration,QCFM_Total,ACH
2017-06-21 18:00:00,0,0,0,0,0,108,0,0,108,0,0,108,66.8854914607388,133.580560917764,0.160457130231549
2017-06-21 18:01:00,0,0,0,0,0,108,0,0,108,0,0,108,66.8854914607388,133.580560917764,0.160457130231549
2017-06-21 18:02:00,0,0,0,0,0,108,0,0,108,0,0,108,67.2646745436467,133.81544999438,0.160739279272528
2017-06-21 18:03:00,0,0,0,0,0,108,0,0,108,0,0,108,67.2646745436467,133.81544999438,0.160739279272528
2017-06-21 18:04:00,0,0,0,0,0,108,0,0,108,0,0,108,67.2646745436467,133.81544999438,0.160739279272528
2017-06-21 18:05:00,0,0,0,0,0,108,0,0,108,0,0,108,67.6428554176223,134.050338786455,0.161021427971717
2017-06-21 18:06:00,0,0,0,0,0,108,0,0,108,0,0,108,67.6428554176223,134.050338786455,0.161021427971717
2017-06-21 18:07:00,0,0,0,0,0,108,0,0,108,0,0,108,68.0200431243477,134.285224026275,0.161303572403934
2017-06-21 18:08:00,0,0,0,0,0,108,0,0,108,0,0,108,68.0200431243477,134.285224026275,0.161303572403934
2017-06-21 18:09:00,0,0,0,0,0,108,0,0,108,0,0,108,68.3962465887386,134.520102541265,0.161585708758276
2017-06-21 18:10:00,0,0,0,0,0,108,0,0,108,0,0,108,68.3962465887386,134.520102541265,0.161585708758276
2017-06-21 18:11:00,0,0,0,0,0,108,0,0,108,0,0,108,68.7714746201638,134.754971250844,0.161867833334347
2017-06-21 18:12:00,0,0,0,0,0,108,0,0,108,0,0,108,68.7714746201638,134.754971250844,0.161867833334347
2017-06-21 18:13:00,0,0,0,0,0,108,0,0,108,0,0,108,68.7714746201638,134.754971250844,0.161867833334347
2017-06-21 18:14:00,0,0,0,0,0,108,0,0,108,0,0,108,69.1457359137035,134.98982716342,0.162149942538642
2017-06-21 18:15:00,0,0,0,0,0,108,0,0,108,0,0,108,69.1457359137035,134.98982716342,0.162149942538642
2017-06-21 18:16:00,0,0,0,0,0,108,0,0,108,0,0,108,69.1457359137035,134.98982716342,0.162149942538642
2017-06-21 18:17:00,0,0,0,0,0,108,0,0,108,0,0,108,69.1457359137035,134.98982716342,0.162149942538642
2017-06-21 18:18:00,0,0,0,0,0,108,0,0,108,0,0,108,69.1457359137035,134.98982716342,0.162149942538642
2017-06-21 18:19:00,0,0,0,0,0,108,0,0,108,0,0,108,68.7714746201638,134.754971250844,0.161867833334347
2017-06-21 18:20:00,0,0,0,0,0,108,0,0,108,0,0,108,68.7714746201638,134.754971250844,0.161867833334347
2017-06-21 18:21:00,0,0,0,0,0,108,0,0,108,0,0,108,68.3962465887386,134.520102541265,0.161585708758276
2017-06-21 18:22:00,0,0,0,0,0,108,0,0,108,0,0,108,68.0200431243477,134.285224026275,0.161303572403934
2017-06-21 18:23:00,0,0,0,0,0,108,0,0,108,0,0,108,68.0200431243477,134.285224026275,0.161303572403934
2017-06-21 18:24:00,0,0,0,0,0,108,0,0,108,0,0,108,67.6428554176223,134.050338786455,0.161021427971717
2017-06-21 18:25:00,0,0,0,0,0,108,0,0,108,0,0,108,67.6428554176223,134.050338786455,0.161021427971717
2017-06-21 18:26:00,0,0,0,0,0,108,0,0,108,0,0,108,67.2646745436467,133.81544999438,0.160739279272528
2017-06-21 18:27:00,0,0,0,0,0,108,0,0,108,0,0,108,67.2646745436467,133.81544999438,0.160739279272528
2017-06-21 18:28:00,0,0,0,0,0,108,0,0,108,0,0,108,67.2646745436467,133.81544999438,0.160739279272528
2017-06-21 18:29:00,0,0,0,0,0,108,0,0,108,0,0,108,66.8854914607388,133.580560917764,0.160457130231549
2017-06-21 18:30:00,0,0,0,0,0,108,0,0,108,0,0,108,66.8854914607388,133.580560917764,0.160457130231549
2017-06-21 18:31:00,0,0,0,0,0,108,0,0,108,0,0,108,66.5052970092749,133.345674922732,0.16017498489217
2017-06-21 18:32:00,0,0,0,0,0,108,0,0,108,0,0,108,66.5052970092749,133.345674922732,0.16017498489217
2017-06-21 18:33:00,0,0,0,0,0,108,0,0,108,0,0,108,66.5052970092749,133.345674922732,0.16017498489217
2017-06-21 18:34:00,0,0,0,0,0,108,0,0,108,0,0,108,66.1240819105675,133.110795477223,0.159892847420087
2017-06-21 18:35:00,0,0,0,0,0,108,0,0,108,0,0,108,66.1240819105675,133.110795477223,0.159892847420087
2017-06-21 18:36:00,0,0,0,0,0,108,0,0,108,0,0,108,66.1240819105675,133.110795477223,0.159892847420087
2017-06-21 18:37:00,0,0,0,0,0,108,0,0,108,0,0,108,65.7418367658015,132.875926154546,0.159610722107563
2017-06-21 18:38:00,0,0,0,0,0,108,0,0,108,0,0,108,65.7418367658015,132.875926154546,0.159610722107563
2017-06-21 18:39:00,0,0,0,0,0,108,0,0,108,0,0,108,65.7418367658015,132.875926154546,0.159610722107563
2017-06-21 18:40:00,0,0,0,0,0,108,0,0,108,0,0,108,65.7418367658015,132.875926154546,0.159610722107563
2017-06-21 18:41:00,0,0,0,0,0,108,0,0,108,0,0,108,65.7418367658015,132.875926154546,0.159610722107563
2017-06-21 18:42:00,0,0,0,0,0,108,0,0,108,0,0,108,66.1240819105675,133.110795477223,0.159892847420087
2017-06-21 18:43:00,0,0,0,0,0,108,0,0,108,0,0,108,66.5052970092749,133.345674922732,0.16017498489217
2017-06-21 18:44:00,0,0,0,0,0,108,0,0,108,0,0,108,66.8854914607388,133.580560917764,0.160457130231549
2017-06-21 18:45:00,0,0,0,0,0,108,0,0,108,0,0,108,66.8854914607388,133.580560917764,0.160457130231549
2017-06-21 18:46:00,0,0,0,0,0,108,0,0,108,0,0,108,67.2646745436467,133.81544999438,0.160739279272528
2017-06-21 18:47:00,0,0,0,0,0,108,0,0,108,0,0,108,67.2646745436467,133.81544999438,0.160739279272528
2017-06-21 18:48:00,0,0,0,0,0,108,0,0,108,0,0,108,67.6428554176223,134.050338786455,0.161021427971717
2017-06-21 18:49:00,0,0,0,0,0,108,0,0,108,0,0,108,67.6428554176223,134.050338786455,0.161021427971717
2017-06-21 18:50:00,0,0,0,0,0,108,0,0,108,0,0,108,68.0200431243477,134.285224026275,0.161303572403934
2017-06-21 18:51:00,0,0,0,0,0,108,0,0,108,0,0,108,68.0200431243477,134.285224026275,0.161303572403934
2017-06-21 18:52:00,0,0,0,0,0,108,0,0,108,0,0,108,68.3962465887386,134.520102541265,0.161585708758276
2017-06-21 18:53:00,0,0,0,0,0,108,0,0,108,0,0,108,67.1419169005396,133.739338045723,0.160647853508376
2017-06-21 18:54:00,0,0,0,0,0,108,0,0,108,0,0,108,67.5114347886907,133.968643198177,0.160923295132945
2017-06-21 18:55:00,0,0,0,0,0,108,0,0,108,0,0,108,67.5114347886907,133.968643198177,0.160923295132945
2017-06-21 18:56:00,0,0,0,0,0,108,0,0,108,0,0,108,67.8801191500532,134.1980182757,0.161198820751592
2017-06-21 18:57:00,0,0,0,0,0,108,152,0,260,0,0,260,67.8801191500532,274.053034346119,0.329192834049393
2017-06-21 18:58:00,0,0,0,0,0,108,152,0,260,0,0,260,68.2479748399148,274.189839471275,0.329357164530061
2017-06-21 18:59:00,0,0,0,0,0,108,152,0,260,0,0,260,68.2479748399148,274.189839471275,0.329357164530061
2017-06-21 19:00:00,0,0,0,0,0,108,152,0,260,0,0,260,68.2479748399148,274.189839471275,0.329357164530061
2017-06-21 19:01:00,0,0,0,0,0,108,152,0,260,0,0,260,68.2479748399148,274.189839471275,0.329357164530061
2017-06-21 19:02:00,0,0,0,0,0,108,152,0,260,0,0,260,68.6150067321929,274.326853772371,0.329521746273118
2017-06-21 19:03:00,0,0,0,0,0,108,152,0,260,0,0,260,68.6150067321929,274.326853772371,0.329521746273118
2017-06-21 19:04:00,0,0,0,0,0,108,152,0,260,0,0,260,68.6150067321929,274.326853772371,0.329521746273118
2017-06-21 19:05:00,0,0,0,0,0,108,152,0,260,0,0,260,68.6150067321929,274.326853772371,0.329521746273118
2017-06-21 19:06:00,0,0,0,0,0,108,152,0,260,0,0,260,68.6150067321929,274.326853772371,0.329521746273118
2017-06-21 19:07:00,0,0,0,0,0,108,152,0,260,0,0,260,68.981219715274,274.464073899189,0.32968657525428
2017-06-21 19:08:00,0,0,0,0,0,108,152,0,260,0,0,260,68.981219715274,274.464073899189,0.32968657525428
2017-06-21 19:09:00,0,0,0,0,0,108,152,0,260,0,0,260,68.981219715274,274.464073899189,0.32968657525428
