Time,BA1_CFM,TO1_CFM,SW1_CFM,BA2_CFM,LAU_CFM,RHD_CFM,QCFM_Exhaust,QCFM_Supply,QCFM_MVbalance,QCFM_MVunbalance,QCFM_Infiltration,QCFM_Total,ACH
2016-07-27 18:47:00,0,0,0,0,94,0,94,0,0,94,63.8783091646764,119.845465430478,0.221389406583396
2016-07-27 18:48:00,0,0,0,0,94,0,94,0,0,94,63.8783091646764,119.845465430478,0.221389406583396
2016-07-27 18:49:00,0,0,0,0,94,0,94,0,0,94,63.8783091646764,119.845465430478,0.221389406583396
2016-07-27 18:50:00,0,0,0,0,94,0,94,0,0,94,57.9443475732284,116.097218286248,0.214465304715975
2016-07-27 18:51:00,0,0,0,0,94,0,94,0,0,94,58.2803943841934,116.304935466661,0.214849018719201
2016-07-27 18:52:00,0,0,0,0,94,0,94,0,0,94,58.2803943841934,116.304935466661,0.214849018719201
2016-07-27 18:53:00,0,0,0,0,94,0,94,0,0,94,58.2803943841934,116.304935466661,0.214849018719201
2016-07-27 18:54:00,0,0,0,0,94,0,94,0,0,94,58.2803943841934,116.304935466661,0.214849018719201
2016-07-27 18:55:00,0,0,0,0,94,0,94,0,0,94,58.2803943841934,116.304935466661,0.214849018719201
2016-07-27 18:56:00,0,0,0,0,94,0,94,0,0,94,57.9443475732284,116.097218286248,0.214465304715975
2016-07-27 18:57:00,0,0,0,0,94,0,94,0,0,94,57.9443475732284,116.097218286248,0.214465304715975
2016-07-27 18:58:00,0,0,0,0,94,0,94,0,0,94,57.9443475732284,116.097218286248,0.214465304715975
2016-07-27 18:59:00,0,0,0,0,94,0,94,0,0,94,57.9443475732284,116.097218286248,0.214465304715975
2016-07-27 19:00:00,0,0,0,0,94,0,94,0,0,94,57.9443475732284,116.097218286248,0.214465304715975
2016-07-27 19:01:00,0,0,0,0,94,0,94,0,0,94,57.6075311441039,115.889596245483,0.21408176646333
2016-07-27 19:02:00,0,0,0,0,94,0,94,0,0,94,57.6075311441039,115.889596245483,0.21408176646333
2016-07-27 19:03:00,0,0,0,0,94,0,94,0,0,94,57.6075311441039,115.889596245483,0.21408176646333
2016-07-27 19:04:00,0,0,0,0,94,0,94,0,0,94,57.6075311441039,115.889596245483,0.21408176646333
2016-07-27 19:05:00,0,0,0,0,94,0,94,0,0,94,57.6075311441039,115.889596245483,0.21408176646333
2016-07-27 19:06:00,0,0,0,0,94,0,94,0,0,94,57.6075311441039,115.889596245483,0.21408176646333
2016-07-27 19:07:00,0,0,0,0,94,0,94,0,0,94,57.2699384457169,115.682073009854,0.21369841073249
2016-07-27 19:08:00,0,0,0,0,94,0,94,0,0,94,57.2699384457169,115.682073009854,0.21369841073249
2016-07-27 19:09:00,0,0,0,0,94,0,94,0,0,94,57.2699384457169,115.682073009854,0.21369841073249
2016-07-27 19:10:00,0,0,0,0,94,0,94,0,0,94,57.2699384457169,115.682073009854,0.21369841073249
2016-07-27 19:11:00,0,0,0,0,94,0,94,0,0,94,57.2699384457169,115.682073009854,0.21369841073249
2016-07-27 19:12:00,0,0,0,0,94,0,94,0,0,94,57.2699384457169,115.682073009854,0.21369841073249
2016-07-27 19:13:00,0,0,0,0,94,0,94,0,0,94,56.9315627439533,115.474652336087,0.213315244463215
2016-07-27 19:14:00,0,0,0,0,94,0,94,0,0,94,56.9315627439533,115.474652336087,0.213315244463215
2016-07-27 19:15:00,0,0,0,0,94,0,94,0,0,94,56.9315627439533,115.474652336087,0.213315244463215
2016-07-27 19:16:00,0,0,0,0,94,0,94,0,0,94,56.9315627439533,115.474652336087,0.213315244463215
2016-07-27 19:17:00,0,0,0,0,94,0,94,0,0,94,56.9315627439533,115.474652336087,0.213315244463215
2016-07-27 19:18:00,0,0,0,0,94,0,94,0,0,94,56.9315627439533,115.474652336087,0.213315244463215
2016-07-27 19:19:00,0,0,0,0,94,0,94,0,0,94,56.9315627439533,115.474652336087,0.213315244463215
2016-07-27 19:20:00,0,0,0,0,94,0,94,0,0,94,56.5923972209478,115.26733807494,0.212932274768978
2016-07-27 19:21:00,0,0,0,0,94,0,94,0,0,94,56.5923972209478,115.26733807494,0.212932274768978
2016-07-27 19:22:00,0,0,0,0,94,0,94,0,0,94,56.5923972209478,115.26733807494,0.212932274768978
2016-07-27 19:23:00,0,0,0,0,94,0,94,0,0,94,56.5923972209478,115.26733807494,0.212932274768978
2016-07-27 19:24:00,0,0,0,0,94,0,94,0,0,94,56.5923972209478,115.26733807494,0.212932274768978
2016-07-27 19:25:00,0,0,0,0,0,0,0,0,0,0,56.5923972209478,56.5923972209478,0.104542605703721
2016-07-27 19:26:00,0,0,0,0,0,0,0,0,0,0,56.5923972209478,56.5923972209478,0.104542605703721
2016-07-27 19:27:00,0,0,0,0,0,0,0,0,0,0,56.2524349743859,56.2524349743859,0.10391459662756
