Time,BA1_CFM,BA2_CFM,BA3_CFM,BA4_CFM,TO1_CFM,BA5_CFM,LAU_CFM,RHD_CFM,CDR_CFM,QCFM_Exhaust,QCFM_Supply,QCFM_MVbalance,QCFM_MVunbalance,QCFM_Infiltration,QCFM_Total,ACH
2017-03-23 18:45:00,0,0,0,0,0,0,137,0,NA,137,0,0,137,99.16051169,178.6361186,0.254346645
2017-03-23 18:46:00,0,0,0,0,0,0,137,0,NA,137,0,0,137,99.16051169,178.6361186,0.254346645
2017-03-23 18:47:00,0,0,0,0,0,0,137,0,NA,137,0,0,137,99.16051169,178.6361186,0.254346645
2017-03-23 18:48:00,0,0,0,0,0,0,137,0,NA,137,0,0,137,99.16051169,178.6361186,0.254346645
2017-03-23 18:49:00,0,0,0,0,0,0,137,0,NA,137,0,0,137,99.16051169,178.6361186,0.254346645
2017-03-23 18:50:00,0,0,0,0,0,0,137,0,NA,137,0,0,137,99.16051169,178.6361186,0.254346645
2017-03-23 18:51:00,0,0,0,0,0,0,137,0,NA,137,0,0,137,99.16051169,178.6361186,0.254346645
2017-03-23 18:52:00,0,0,0,0,0,0,137,0,NA,137,0,0,137,99.16051169,178.6361186,0.254346645
2017-03-23 18:53:00,0,0,0,0,0,0,137,0,NA,137,0,0,137,99.16051169,178.6361186,0.254346645
2017-03-23 18:54:00,0,0,0,0,0,0,137,0,NA,137,0,0,137,73.83909394,162.8595865,0.231883618
2017-03-23 18:55:00,0,0,0,0,0,0,137,0,NA,137,0,0,137,73.83909394,162.8595865,0.231883618
2017-03-23 18:56:00,0,0,0,0,0,0,137,0,NA,137,0,0,137,73.83909394,162.8595865,0.231883618
2017-03-23 18:57:00,0,0,0,0,0,0,137,0,NA,137,0,0,137,73.83909394,162.8595865,0.231883618
2017-03-23 18:58:00,0,0,0,0,0,0,137,0,NA,137,0,0,137,73.83909394,162.8595865,0.231883618
2017-03-23 18:59:00,0,0,0,0,0,0,137,0,NA,137,0,0,137,73.83909394,162.8595865,0.231883618
2017-03-23 19:00:00,0,0,0,0,0,0,137,0,NA,137,0,0,137,73.83909394,162.8595865,0.231883618
2017-03-23 19:01:00,0,0,0,0,0,0,137,0,NA,137,0,0,137,73.83909394,162.8595865,0.231883618
2017-03-23 19:02:00,0,0,0,0,0,0,137,0,NA,137,0,0,137,73.83909394,162.8595865,0.231883618
2017-03-23 19:03:00,0,0,0,0,0,0,137,0,NA,137,0,0,137,73.83909394,162.8595865,0.231883618
2017-03-23 19:04:00,0,0,0,0,0,0,137,0,NA,137,0,0,137,73.83909394,162.8595865,0.231883618
