Time,PM_MET_IN1,PM_MET_OUT,CO2_ETC_IN1,CO2_ETC_BR1,CO2_ETC_BR3,CO2_ETC_OUT,NO2_AQL_IN1,FRM_FMM_IN1,FRM_FMM_BR1,T_ETC_IN1,T_ETC_BR1,T_ETC_BR3,T_ETC_OUT,T_HBO_BA1,T_HBO_BA2,T_HBO_TO1,T_HBO_LAU,T_HBO_OUT,RH_ETC_IN1,RH_ETC_BR1,RH_ETC_BR3,RH_ETC_OUT,RH_HBO_BA1,RH_HBO_BA2,RH_HBO_TO1,RH_HBO_LAU,RH_HBO_OUT,FRM_FLG_IN1,FRM_ADJ_IN1,FRM_FLG_BR1,FRM_ADJ_BR1
2017-06-26 18:00:00,1,1.74,727.0,728,656,402,0.0,16.0,14.0,25.3,24.5,24.3,36.9,30.495,29.74,32.278,24.919,31.153,53.9,55.9,55.8,27.7,42.172,42.848,37.14,56.252,39.379,,16.0,,14.0
2017-06-26 18:01:00,1,1.19,727.0,732,658,402,0.0,16.0,14.0,25.3,24.5,24.3,36.8,30.495,29.84,32.278,24.919,31.128,53.8,55.9,55.7,27.8,42.172,42.364,37.072,56.43899999999999,38.64,,16.0,,14.0
2017-06-26 18:02:00,1,1.984,730.0,733,654,404,0.0,15.0,14.0,25.3,24.5,24.3,36.8,30.495,29.941,32.278,24.919,31.026,53.8,55.9,55.6,27.9,42.337,42.21,37.207,56.50100000000001,38.864,,15.0,,14.0
2017-06-26 18:03:00,1,1.923,727.0,730,654,402,0.0,15.0,14.0,25.3,24.5,24.3,36.8,30.495,30.016,32.278,24.944000000000006,30.95,53.8,56.0,55.7,28.3,42.271,41.82100000000001,37.173,56.505,39.492,,15.0,,14.0
2017-06-26 18:04:00,2,1.6780000000000002,727.0,729,658,402,0.0,15.0,14.0,25.3,24.5,24.3,36.7,30.495,30.117,32.304,24.944000000000006,30.925,53.8,56.0,55.8,28.1,42.205,41.169,37.142,56.411,39.054,,15.0,,14.0
2017-06-26 18:05:00,1,3.113,727.0,726,661,398,0.0,15.0,14.0,25.3,24.5,24.3,36.7,30.495,30.192,32.304,24.968000000000004,30.925,53.8,56.1,55.8,28.3,42.13800000000001,41.50899999999999,37.041,56.602,39.656,,15.0,,14.0
2017-06-26 18:06:00,2,2.823,727.0,727,663,396,0.0,15.0,14.0,25.3,24.6,24.4,36.7,30.495,30.268,32.304,24.968000000000004,30.9,54.0,56.0,55.7,28.3,42.039,41.55,36.973,56.602,39.654,,15.0,,14.0
2017-06-26 18:07:00,2,1.587,736.0,729,666,398,0.001,15.0,14.0,25.3,24.6,24.4,36.6,30.52,30.343000000000004,32.33,24.968000000000004,30.849,54.5,56.1,55.6,28.3,42.042,41.658,37.01,56.602,41.181,,15.0,,14.0
2017-06-26 18:08:00,2,1.984,750.0,729,920,396,0.001,15.0,14.0,25.3,24.6,24.4,36.6,30.52,30.419,32.33,24.992,30.824,54.2,56.0,56.1,28.4,41.976000000000006,41.002,36.976,56.574,39.779,,15.0,,14.0
2017-06-26 18:09:00,1,1.266,758.0,728,851,398,0.001,15.0,14.0,25.3,24.6,24.4,36.5,30.52,30.495,32.33,25.016,30.773000000000003,54.1,56.1,55.8,28.4,41.942,40.611,36.908,56.952,39.941,,15.0,,14.0
