Time,PM_MET_IN1,PM_MET_OUT,CO2_ETC_IN1,CO2_ETC_BR1,CO2_ETC_BR2,CO2_ETC_OUT,NO2_AQL_IN1,FRM_FMM_IN1,FRM_FMM_BR1,T_ETC_IN1,T_ETC_BR1,T_ETC_BR2,T_ETC_OUT,T_HBO_BA1,T_HBO_BA2,T_HBO_LAU,T_HBO_OUT,RH_ETC_IN1,RH_ETC_BR1,RH_ETC_BR2,RH_ETC_OUT,RH_HBO_BA1,RH_HBO_BA2,RH_HBO_LAU,RH_HBO_OUT,FRM_FLG_IN1,FRM_ADJ_IN1,FRM_FLG_BR1,FRM_ADJ_BR1
2017-07-31 18:00:00,2.0,2.2430000000000003,509.0,531.0,419.0,403.0,0.013,21.0,20.0,24.6,23.3,24.1,41.7,24.171,28.692,23.497,35.208,47.7,49.4,50.6,19.2,49.051,40.683,51.972,25.366,,21.0,,20.0
2017-07-31 18:01:00,2.0,2.396,508.0,532.0,417.0,403.0,0.006999999999999999,21.0,20.0,24.5,23.3,24.1,41.6,24.219,28.692,23.497,35.155,47.6,49.4,50.5,18.9,48.802,40.551,51.72,25.292,,21.0,,20.0
2017-07-31 18:02:00,2.0,2.67,513.0,535.0,423.0,404.0,0.006999999999999999,21.0,20.0,24.4,23.3,24.1,41.6,24.243,28.717,23.472,35.128,47.7,49.4,50.4,19.2,48.805,40.62,51.653,25.29,,21.0,,20.0
2017-07-31 18:03:00,2.0,2.289,509.0,535.0,421.0,403.0,0.012,21.0,20.0,24.3,23.3,24.1,41.5,24.243,28.766,23.448,35.075,47.7,49.3,50.4,19.0,48.677,40.592,51.618,25.497,,21.0,,20.0
2017-07-31 18:04:00,2.0,2.9760000000000004,511.0,536.0,419.0,399.0,0.012,21.0,20.0,24.2,23.3,24.1,41.4,24.219,28.841,23.424,35.049,47.8,49.3,50.3,19.2,48.578,40.468,51.552,25.495,,21.0,,20.0
2017-07-31 18:05:00,2.0,5.371,509.0,533.0,419.0,399.0,0.016,21.0,20.0,24.1,23.3,24.1,41.3,24.219,28.891,23.376,35.049,47.9,49.2,50.3,19.1,48.451,40.37300000000001,51.64,24.652,,21.0,,20.0
2017-07-31 18:06:00,2.0,2.9760000000000004,506.0,532.0,419.0,401.0,0.016,21.0,20.0,24.0,23.2,24.1,41.3,24.195,28.916,23.328000000000007,35.022,48.1,49.0,50.2,19.2,48.511,40.21,51.539,24.579,,21.0,,20.0
2017-07-31 18:07:00,2.0,3.464,505.0,529.0,421.0,404.0,0.021,21.0,20.0,24.0,23.1,24.0,41.2,24.171,28.965,23.256,35.049,48.0,49.0,50.1,18.9,48.54,39.718,51.435,24.511,,21.0,,20.0
2017-07-31 18:08:00,2.0,2.228,506.0,528.0,423.0,401.0,0.021,21.0,20.0,24.0,23.1,24.0,41.2,24.098000000000006,28.99,23.184,35.049,48.1,48.9,49.9,19.3,48.499,39.587,51.33,24.511,,21.0,,20.0
2017-07-31 18:09:00,2.0,2.274,511.0,525.0,421.0,399.0,0.021,21.0,20.0,24.1,23.0,23.9,41.1,24.002,28.965,23.088,34.995,47.9,48.9,49.9,19.2,48.39100000000001,39.784,51.475,24.718000000000004,,21.0,,20.0
2017-07-31 18:10:00,2.0,2.213,517.0,527.0,421.0,400.0,0.021,21.0,20.0,24.1,22.8,23.8,41.0,23.93,28.965,22.992,34.916,48.0,49.0,49.7,19.4,48.637,38.553,51.367,24.678,,21.0,,20.0
2017-07-31 18:11:00,2.0,2.35,525.0,528.0,421.0,397.0,0.022,21.0,20.0,24.1,22.9,23.8,40.9,23.881,28.866,22.896,34.81,48.2,48.9,49.7,19.3,48.535,38.642,51.449,24.424,,21.0,,20.0
2017-07-31 18:12:00,2.0,1.892,549.0,527.0,419.0,400.0,0.022,21.0,20.0,24.2,22.9,23.8,40.9,23.857,28.742,22.8,34.704,48.1,48.7,49.6,18.7,48.5,39.229,51.719,25.19,,21.0,,20.0
2017-07-31 18:13:00,2.0,2.487,563.0,522.0,418.0,402.0,0.021,21.0,20.0,24.1,22.9,23.7,40.8,23.833,28.717,22.753,34.677,48.2,48.8,49.5,19.2,48.306,39.559,51.618,25.118,,21.0,,20.0
2017-07-31 18:14:00,2.0,2.548,579.0,520.0,420.0,401.0,0.021,21.0,20.0,24.2,22.8,23.6,40.7,23.785,28.692,22.705,34.651,48.2,48.7,49.7,19.2,48.363,39.423,51.706,25.256,,21.0,,20.0
2017-07-31 18:15:00,2.0,2.777,595.0,519.0,421.0,400.0,0.019,21.0,20.0,24.2,22.8,23.7,40.7,23.761,28.692,22.657,34.624,48.1,48.6,49.4,18.9,48.233,39.755,51.637,25.535,,21.0,,20.0
2017-07-31 18:16:00,2.0,3.006,607.0,522.0,415.0,397.0,0.019,21.0,20.0,24.3,22.8,23.7,40.6,23.737,28.692,22.609,34.598,48.0,48.7,49.3,19.4,48.261,39.357,51.536,26.023000000000003,,21.0,,20.0
2017-07-31 18:17:00,2.0,2.106,612.0,521.0,413.0,399.0,0.019,21.0,20.0,24.3,22.7,23.6,40.5,23.737,28.692,22.561,34.572,48.0,48.6,49.3,19.5,48.13399999999999,39.556,51.62300000000001,26.441,,21.0,,20.0
2017-07-31 18:18:00,3.0,1.999,621.0,522.0,411.0,396.0,0.019,21.0,20.0,24.3,22.7,23.6,40.5,23.689,28.692,22.513,34.519,47.8,48.8,49.2,19.6,48.128,39.357,51.774,26.438,,21.0,,20.0
2017-07-31 18:19:00,3.0,2.121,627.0,525.0,411.0,401.0,0.017,21.0,20.0,24.2,22.7,23.6,40.4,23.689,28.667,22.513,34.519,47.8,48.9,49.3,19.7,48.032,39.753,52.12,24.966,,21.0,,20.0
2017-07-31 18:20:00,3.0,1.4340000000000002,630.0,525.0,415.0,402.0,0.017,21.0,20.0,24.1,22.8,23.6,40.3,23.713,28.692,22.537,34.519,47.9,48.9,49.3,19.3,48.099,39.88800000000001,52.312,24.861,,21.0,,20.0
2017-07-31 18:21:00,3.0,2.411,629.0,521.0,416.0,400.0,0.02,21.0,20.0,24.0,22.8,23.7,40.3,23.737,28.766,22.609,34.466,47.9,48.8,49.4,19.4,48.102,39.697,52.353,25.313,,21.0,,20.0
2017-07-31 18:22:00,3.0,2.274,627.0,520.0,415.0,400.0,0.02,21.0,20.0,23.9,22.8,23.7,40.2,23.761,28.841,22.657,34.413000000000004,47.9,48.9,49.4,19.5,48.105,39.439,52.203,26.185,,21.0,,20.0
