Time,PM_MET_IN1,PM_MET_OUT,CO2_ETC_IN1,CO2_ETC_BR1,CO2_ETC_BR3,CO2_ETC_BR4,NO2_AQL_IN1,FRM_FMM_IN1,FRM_FMM_BR1,T_ETC_IN1,T_ETC_BR1,T_ETC_BR3,T_ETC_BR4,T_HBO_BA1,T_HBO_BA2,T_HBO_BA3,T_HBO_LAU,T_HBO_OUT,RH_ETC_IN1,RH_ETC_BR1,RH_ETC_BR3,RH_ETC_BR4,RH_HBO_BA1,RH_HBO_BA2,RH_HBO_BA3,RH_HBO_LAU,RH_HBO_OUT,FRM_FLG_IN1,FRM_ADJ_IN1,FRM_FLG_BR1,FRM_ADJ_BR1
2017-09-19 18:00:00,2.0,2.075,590.0,569.0,492.0,419.0,0.021,14,19,24.2,24.0,23.7,24.1,23.472,,23.689,23.905,27.063,46.1,48.3,46.1,47.5,46.02,,48.956,48.411,28.702,,14.0,,19.0
2017-09-19 18:01:00,2.0,2.625,595.0,568.0,494.0,421.0,0.021,14,19,24.2,24.0,23.7,24.1,23.472,,23.689,23.93,27.014,46.2,48.3,46.1,47.5,46.405,,48.988,48.414,28.562,,14.0,,19.0
2017-09-19 18:02:00,2.0,2.548,595.0,566.0,489.0,419.0,0.022,14,19,24.2,24.0,23.7,24.1,23.472,,23.713,23.93,26.965,46.2,48.3,46.1,47.5,47.429,,48.99100000000001,48.44600000000001,29.104,,14.0,,19.0
2017-09-19 18:03:00,2.0,2.838,600.0,566.0,496.0,419.0,0.022,14,19,24.2,24.0,23.7,24.1,23.472,,23.713,23.93,26.867,46.1,48.3,46.0,47.5,46.148,,49.023,48.44600000000001,28.891,,14.0,,19.0
2017-09-19 18:04:00,2.0,2.9760000000000004,600.0,572.0,500.0,418.0,0.02,14,19,24.2,24.0,23.7,24.1,23.472,,23.713,23.954,26.744,46.2,48.3,46.1,47.5,45.055,,48.96,48.417,29.018,,14.0,,19.0
2017-09-19 18:05:00,2.0,3.54,596.0,572.0,500.0,418.0,0.02,14,19,24.2,24.0,23.7,24.1,23.472,,23.713,23.954,26.72,46.2,48.4,46.1,47.5,45.184,,48.99100000000001,48.449,29.22,,14.0,,19.0
2017-09-19 18:06:00,2.0,2.762,596.0,566.0,499.0,419.0,0.02,14,19,24.2,24.0,23.7,24.1,23.472,,23.737,23.954,26.695,46.2,48.3,46.1,47.4,45.538,,49.026,48.417,29.422,,14.0,,19.0
2017-09-19 18:07:00,2.0,2.8080000000000003,598.0,568.0,494.0,419.0,0.02,14,19,24.2,24.0,23.7,24.2,23.472,,23.737,23.954,26.646,46.2,48.3,46.1,47.5,45.795,,48.867,48.32100000000001,29.282,,14.0,,19.0
2017-09-19 18:08:00,2.0,2.747,596.0,569.0,494.0,417.0,0.021,14,19,24.3,24.0,23.7,24.2,23.472,,23.737,23.978,26.598000000000006,46.2,48.3,46.1,47.4,44.475,,48.803,48.42,29.958,,14.0,,19.0
2017-09-19 18:09:00,2.0,1.45,600.0,570.0,496.0,419.0,0.021,14,19,24.3,24.0,23.7,24.2,23.497,,23.737,23.978,26.524,46.2,48.3,46.1,47.4,44.864,,47.62300000000001,48.356,30.426,,14.0,,19.0
2017-09-19 18:10:00,2.0,2.579,600.0,568.0,497.0,417.0,0.021,14,19,24.3,24.0,23.7,24.2,23.497,,23.761,23.978,26.426,46.2,48.3,46.1,47.5,45.348,,48.647,48.452,29.842,,14.0,,19.0
2017-09-19 18:11:00,2.0,2.335,597.0,566.0,496.0,419.0,0.021,14,19,24.3,24.0,23.7,24.2,23.497,,23.761,23.978,26.402,46.2,48.2,46.1,47.4,44.574,,48.233,48.38800000000001,30.145,,14.0,,19.0
2017-09-19 18:12:00,2.0,2.075,592.0,563.0,496.0,415.0,0.02,14,19,24.3,24.0,23.7,24.2,23.497,,23.761,24.002,26.426,46.2,48.2,46.2,47.4,43.799,,49.06100000000001,48.519,29.944000000000006,,14.0,,19.0
2017-09-19 18:13:00,2.0,2.06,591.0,566.0,502.0,408.0,0.02,14,19,24.3,24.0,23.7,24.2,23.497,,23.785,24.002,26.378,46.1,48.2,46.2,47.4,45.315,,48.172,48.455,30.041,,14.0,,19.0
