Time,PM_MET_IN1,PM_MET_OUT,CO2_ETC_IN1,CO2_ETC_BR1,CO2_ETC_BR2,CO2_ETC_OUT,NO2_AQL_IN1,FRM_FMM_IN1,FRM_FMM_BR1,T_ETC_IN1,T_ETC_BR1,T_ETC_BR2,T_ETC_OUT,T_HBO_BA1,T_HBO_BA2,T_HBO_BA3,T_HBO_LAU,T_HBO_OUT,RH_ETC_IN1,RH_ETC_BR1,RH_ETC_BR2,RH_ETC_OUT,RH_HBO_BA1,RH_HBO_BA2,RH_HBO_BA3,RH_HBO_LAU,RH_HBO_OUT,FRM_FLG_IN1,FRM_ADJ_IN1,FRM_FLG_BR1,FRM_ADJ_BR1
2017-08-22 18:00:00,7,12.543,837,779,862.0,370,,23,22,25.2,26.7,27.3,35.6,29.715,32.227,25.016,26.965,35.262,54.1,50.4,49.0,31.2,44.622,42.496,54.983,53.558,29.908,,23.0,,22
2017-08-22 18:01:00,7,11.948,836,766,857.0,369,,22,22,25.3,26.7,27.3,35.5,29.74,32.253,25.016,26.965,35.208,54.6,50.5,49.1,31.2,44.559,42.599,54.92,53.33600000000001,29.834,,22.0,,22
2017-08-22 18:02:00,7,13.581,838,758,850.0,370,,22,22,25.3,26.7,27.3,35.5,29.765,32.304,25.04,26.94,35.128,54.4,50.3,49.2,31.2,44.497,42.471,54.798,53.11,30.175,,22.0,,22
2017-08-22 18:03:00,7,13.275,838,758,850.0,372,,22,21,25.3,26.7,27.3,35.5,29.79,32.33,25.04,26.891,35.102,54.3,50.3,49.1,31.2,44.368,42.408,54.798,53.547,30.381,,22.0,,21
2017-08-22 18:04:00,7,12.741,839,766,850.0,373,,22,21,25.3,26.7,27.3,35.4,29.815,32.355,25.04,26.818,35.102,54.4,50.3,48.9,31.3,44.075,42.344,54.924,54.29600000000001,30.381,,22.0,,21
2017-08-22 18:05:00,7,13.153,843,772,849.0,372,,22,21,25.3,26.7,27.3,35.4,29.84,32.381,25.04,26.793000000000006,35.128,54.8,50.5,48.9,31.4,43.881,42.147,54.798,54.23,30.175,,22.0,,21
2017-08-22 18:06:00,7,14.175999999999998,842,783,855.0,372,,22,21,25.3,26.8,27.3,35.4,29.865,32.381,25.04,26.793000000000006,35.128,54.6,50.5,49.0,31.4,44.377,42.347,54.83,54.261,29.897,,22.0,,21
2017-08-22 18:07:00,7,13.855,843,791,863.0,368,,22,21,25.3,26.7,27.3,35.3,29.865,32.355,25.065,26.818,35.102,54.5,50.4,49.0,31.3,43.653,42.278,54.833,54.13800000000001,30.173,,22.0,,21
2017-08-22 18:08:00,7,14.800999999999998,840,797,862.0,372,,22,21,25.3,26.8,27.3,35.3,29.89,32.355,25.065,26.842,35.049,55.0,50.3,49.0,31.3,44.31399999999999,42.278,54.676,54.142,30.099,,22.0,,21
2017-08-22 18:09:00,7,13.535,834,802,865.0,374,,22,21,25.3,26.8,27.3,35.3,29.89,32.33,25.065,26.891,34.995,55.2,50.4,49.0,31.3,43.59,42.14100000000001,54.676,53.959,30.268,,22.0,,21
2017-08-22 18:10:00,7,13.428,831,812,863.0,375,,22,21,25.3,26.8,27.3,35.3,29.89,32.33,25.065,26.94,34.942,54.5,50.4,49.1,31.3,43.524,42.042,54.613,53.808,30.402,,22.0,,21
2017-08-22 18:11:00,7,13.199000000000002,827,810,867.0,378,,22,21,25.3,26.8,27.3,35.2,29.916,32.33,25.065,27.014,34.889,54.5,50.5,49.3,31.4,43.593,41.875,54.802,53.56399999999999,30.709,,22.0,,21
2017-08-22 18:12:00,7,14.496,826,797,865.0,378,,22,21,25.3,26.8,27.3,35.2,29.941,32.381,25.089,26.989,34.889,54.7,50.5,49.3,31.5,43.662,41.681,54.648,53.244,30.571,,22.0,,21
2017-08-22 18:13:00,7,13.764,825,788,856.0,380,,22,21,25.3,26.8,27.3,35.2,29.966,32.381,25.089,26.965,34.863,54.6,50.4,49.3,31.6,43.665,41.81399999999999,54.837,53.399,30.638,,22.0,,21
2017-08-22 18:14:00,7,14.099,826,785,854.0,378,,22,21,25.3,26.8,27.3,35.1,29.991,32.407,25.089,26.916,34.836,54.3,50.4,49.2,31.6,43.503,41.717,54.962,53.867,30.428,,22.0,,21
2017-08-22 18:15:00,6,13.001,823,779,852.0,375,,22,21,25.3,26.8,27.3,35.1,30.016,32.433,25.089,26.842,34.757,54.6,50.4,49.1,31.6,43.868,41.753,55.056,54.584,30.491,,22.0,,21
2017-08-22 18:16:00,7,12.985,820,779,850.0,374,,22,21,25.3,26.8,27.3,35.1,30.016,32.433,25.089,26.818,34.704,55.0,50.4,49.1,31.6,43.209,41.58600000000001,54.868,54.517,30.798,,22.0,,21
2017-08-22 18:17:00,7,12.94,812,792,850.0,378,,22,21,25.3,26.8,27.3,35.0,30.041,32.433,25.089,26.842,34.651,54.8,50.3,49.1,31.6,43.08,41.553,54.774,54.363,30.793000000000006,,22.0,,21
2017-08-22 18:18:00,7,12.787,813,802,850.0,378,,22,21,25.3,26.8,27.3,35.0,30.041,32.407,25.089,26.867,34.624,54.6,50.2,49.2,31.6,43.113,41.55,54.743,54.114,30.791,,22.0,,21
2017-08-22 18:19:00,7,12.177,815,814,849.0,372,,22,21,25.3,26.8,27.3,34.9,30.041,32.407,25.113000000000003,26.916,34.572,55.1,50.2,49.2,31.7,42.882,41.55,54.809,54.089,31.271,,22.0,,21
2017-08-22 18:20:00,7,12.833,815,824,847.0,376,,22,21,25.4,26.8,27.3,34.9,30.066,32.433,25.113000000000003,26.94,34.519,55.1,50.3,49.3,31.8,43.149,41.419,54.746,54.124,31.301,,22.0,,21
2017-08-22 18:21:00,7,12.512,812,823,844.0,377,,22,21,25.4,26.8,27.3,34.9,30.091,32.433,25.113000000000003,26.94,34.519,54.9,50.3,49.4,31.8,43.019,41.319,54.558,53.681,31.024,,22.0,,21
2017-08-22 18:22:00,6,13.138,807,805,840.0,379,,22,21,25.3,26.8,27.3,34.8,30.117,32.458,25.113000000000003,26.916,34.44,54.6,50.2,49.3,31.8,43.022,41.155,54.495,53.772,31.121,,22.0,,21
2017-08-22 18:23:00,7,13.199000000000002,799,797,840.0,375,,22,21,25.3,26.8,27.3,34.8,30.142,32.484,25.113000000000003,26.891,34.36,54.6,50.5,49.2,31.9,42.959,40.957,55.028,54.68600000000001,31.356,,22.0,,21
2017-08-22 18:24:00,6,11.902,798,797,837.0,374,,22,21,25.3,26.8,27.3,34.8,30.142,32.484,25.113000000000003,26.867,34.334,55.0,50.4,49.1,32.0,42.695,40.857,54.652,54.682,31.664,,22.0,,21
2017-08-22 18:25:00,6,11.582,803,805,840.0,370,,22,21,25.3,26.8,27.3,34.7,30.167,32.484,25.113000000000003,26.867,34.308,55.1,50.4,49.2,32.1,42.929,41.024,54.62,54.587,31.593000000000004,,22.0,,21
2017-08-22 18:26:00,7,12.024,804,805,844.0,369,,22,21,25.3,26.9,27.3,34.7,30.167,32.458,25.113000000000003,26.916,34.281,55.1,50.2,49.2,32.2,43.127,41.088,54.777,54.43600000000001,31.591,,22.0,,21
2017-08-22 18:27:00,6,13.169,807,812,846.0,370,,22,21,25.3,26.9,27.3,34.7,30.167,32.458,25.113000000000003,26.94,34.229,55.2,50.1,49.2,32.2,42.565,40.955,54.809,54.187,31.759,,22.0,,21
2017-08-22 18:28:00,7,11.612,803,822,843.0,370,,22,21,25.3,26.9,27.3,34.6,30.192,32.458,25.113000000000003,27.014,34.176,55.6,50.2,49.4,32.3,42.899,40.821,54.683,53.913,31.685,,22.0,,21
2017-08-22 18:29:00,6,12.421,801,827,841.0,370,,22,21,25.3,26.9,27.3,34.6,30.192,32.484,25.113000000000003,27.014,34.124,55.2,50.3,49.4,32.2,42.7,40.656,54.746,53.31100000000001,31.543000000000006,,22.0,,21
2017-08-22 18:30:00,6,11.78,799,822,833.0,373,,22,21,25.3,26.9,27.3,34.5,30.217,32.484,25.113000000000003,26.989,34.045,55.2,50.2,49.4,32.3,42.472,40.656,54.746,53.307,31.846,,22.0,,21
2017-08-22 18:31:00,6,10.91,794,809,833.0,373,,22,21,25.3,26.9,27.3,34.5,30.243,32.51,25.113000000000003,26.94,33.992,54.8,50.2,49.3,32.3,42.375,40.559,54.777,54.31399999999999,32.083,,22.0,,21
2017-08-22 18:32:00,7,11.246,786,800,831.0,373,,22,21,25.3,26.9,27.3,34.4,30.243,32.536,25.113000000000003,26.916,33.887,55.1,50.5,49.2,32.4,42.64,41.297,54.746,55.194,32.143,,22.0,,21
2017-08-22 18:33:00,6,11.292,785,797,830.0,370,,22,22,25.3,26.9,27.3,34.4,30.268,32.51,25.113000000000003,26.916,33.783,55.4,50.2,49.2,32.5,42.544,45.213,54.809,55.131,32.202,,22.0,,22
2017-08-22 18:34:00,6,11.887,789,804,833.0,373,,22,22,25.3,26.9,27.3,34.3,30.268,32.484,25.113000000000003,26.965,33.652,55.3,50.2,49.2,32.5,42.61,43.356,54.746,54.98,32.569,,22.0,,22
2017-08-22 18:35:00,6,11.368,783,818,834.0,376,,22,22,25.3,26.9,27.3,34.3,30.268,32.484,25.113000000000003,27.014,33.574,55.1,50.3,49.2,32.6,43.105,41.725,54.62,54.545,32.528,,22.0,,22
2017-08-22 18:36:00,6,10.407,780,827,839.0,380,,22,22,25.3,26.8,27.3,34.2,30.268,32.458,25.137,27.087,33.469,55.5,50.3,49.3,32.6,42.94,41.65600000000001,54.624,54.587,32.519,,22.0,,22
2017-08-22 18:37:00,6,11.963,780,832,842.0,378,,22,22,25.3,26.9,27.3,34.2,30.243,32.458,25.137,27.161,33.391,55.8,50.3,49.3,32.5,42.309,41.355,54.624,54.187,32.786,,22.0,,22
2017-08-22 18:38:00,6,11.154000000000002,780,832,840.0,375,,22,22,25.3,26.9,27.3,34.1,30.243,32.433,25.137,27.235,33.339,55.1,50.2,49.4,32.6,42.475,41.419,54.56100000000001,53.849,32.816,,22.0,,22
2017-08-22 18:39:00,6,12.284,780,829,839.0,374,,22,22,25.3,26.9,27.3,34.1,30.268,32.458,25.137,27.259,33.287,55.4,50.4,49.5,32.7,42.147,40.654,54.49800000000001,53.282,33.119,,22.0,,22
2017-08-22 18:40:00,6,12.68,781,816,837.0,369,,22,22,25.3,26.9,27.3,34.0,30.268,32.484,25.137,27.235,33.235,55.1,50.3,49.5,32.7,42.18,41.525,54.56100000000001,53.183,32.532,,22.0,,22
2017-08-22 18:41:00,6,12.116,782,794,837.0,367,,22,22,25.3,26.9,27.3,34.0,30.293000000000006,32.484,25.137,27.21,33.157,54.8,50.2,49.4,32.6,41.917,46.889,54.467,52.957,32.56,,22.0,,22
2017-08-22 18:42:00,6,10.3,775,784,833.0,370,,22,22,25.3,26.9,27.3,33.9,30.293000000000006,32.484,25.137,27.235,33.079,54.6,50.5,49.2,32.5,41.951,48.234,54.37300000000001,53.722,31.558000000000003,,22.0,,22
2017-08-22 18:43:00,6,11.429,766,781,836.0,370,,22,22,25.3,26.9,27.3,33.9,30.293000000000006,32.484,25.137,27.308000000000003,32.975,55.1,50.4,49.3,31.9,42.083,51.846,53.838,53.415,31.652,,22.0,,22
2017-08-22 18:44:00,6,10.239,766,783,837.0,373,,22,22,25.3,26.9,27.3,33.8,30.293000000000006,32.458,25.137,27.308000000000003,32.846,55.2,50.4,49.7,31.6,42.05,46.62300000000001,52.987,53.669,31.813,,22.0,,22
