Time,PM_MET_OUT,PM_MET_IN1,CO2_ETC_IN1,CO2_ETC_BR1,CO2_ETC_BR2,CO2_ETC_BR3,CO2_ETC_OUT,NO2_AQL_IN1,FRM_FMM_IN1,FRM_FMM_BR1,T_ETC_IN1,T_ETC_BR1,T_ETC_BR2,T_ETC_BR3,T_ETC_OUT,TS_HBI_GRL,T_HBO_BA1,T_HBO_BA2,T_HBO_BA3,T_HBO_LAU,T_HBO_OUT,RH_ETC_IN1,RH_ETC_BR1,RH_ETC_BR2,RH_ETC_BR3,RH_ETC_OUT,RHS_HBI_GRL,RH_HBO_BA1,RH_HBO_BA2,RH_HBO_BA3,RH_HBO_LAU,RH_HBO_OUT,FRM_FLG_IN1,FRM_ADJ_IN1,FRM_FLG_BR1,FRM_ADJ_BR1
2018-01-17 15:33:00,,3,,,,,,,<10,,,,,,,,,,,,,,,,,,,,,,,,,7.3,,
2018-01-17 15:34:00,,3,,,,,,,<10,,,,,,,,,,,,,,,,,,,,,,,,,7.3,,
2018-01-17 15:35:00,,3,,,,,,,<10,,,,,,,,,,,,,,,,,,,,,,,,,7.3,,
2018-01-17 15:36:00,,3,,,,,,,<10,,,,,,,,,,,,,,,,,,,,,,,,,7.3,,
2018-01-17 15:37:00,,3,,,,,,,<10,,,,,,,,,,,,,,,,,,,,,,,,,7.3,,
2018-01-17 15:38:00,,3,,,,,,,<10,,,,,,,,,,,,,,,,,,,,,,,,,7.3,,
2018-01-17 15:39:00,,3,,,,,,,<10,<10,,,,,,,,,,,,,,,,,,,,,,,,7.3,,7.3
2018-01-17 15:40:00,,3,,,,,,,<10,<10,,,,,,,,,,,,,,,,,,,,,,,,7.3,,7.3
2018-01-17 15:41:00,,3,,,,,,,<10,<10,,,,,,,,,,,,,,,,,,,,,,,,7.3,,7.3
2018-01-17 15:42:00,,3,,,,,,,<10,<10,,,,,,,,,,,,,,,,,,,,,,,,7.3,,7.3
2018-01-17 15:43:00,,3,,,,,,,<10,<10,,,,,,,,,,,,,,,,,,,,,,,,7.3,,7.3
2018-01-17 15:44:00,,3,,,,,,,<10,<10,,,,,,,,,,,,,,,,,,,,,,,,7.3,,7.3
2018-01-17 15:45:00,,3,,,,,,,<10,<10,,,,,,,,,,,,,,,,,,,,,,,,7.3,,7.3
2018-01-17 15:46:00,,3,,,,,,,<10,<10,,,,,,,,,,,,,,,,,,,,,,,,7.3,,7.3
2018-01-17 15:47:00,,3,,,,,,,<10,<10,,,,,,,,,,,,,,,,,,,,,,,,7.3,,7.3
2018-01-17 15:48:00,,3,,,,,,,<10,<10,,,,,,,,,,,,,,,,,,,,,,,,7.3,,7.3
2018-01-17 15:49:00,,3,,,,,,,<10,<10,,,,,,,,,,,,,,,,,,,,,,,,7.3,,7.3
2018-01-17 15:50:00,,3,,,,,,,<10,<10,,,,,,,,,,,,,,,,,,,,,,,,7.3,,7.3
2018-01-17 15:51:00,,3,,,,,,,<10,<10,,,,,,,,,,,,,,,,,,,,,,,,7.3,,7.3
2018-01-17 15:52:00,,3,,,,,,,<10,<10,,,,,,,,,,,,,,,,,,,,,,,,7.3,,7.3
2018-01-17 15:53:00,,3,,,,,,,<10,<10,,,,,,,,,,,,,,,,,,,,,,,,7.3,,7.3
2018-01-17 15:54:00,,2,,,,,,,<10,<10,,,,,,,,,,,,,,,,,,,,,,,,7.3,,7.3
2018-01-17 15:55:00,,3,,,,,,,<10,<10,,,,,,,,,,,,,,,,,,,,,,,,7.3,,7.3
2018-01-17 15:56:00,,3,,,,,,,<10,<10,,,,,,,,,,,,,,,,,,,,,,,,7.3,,7.3
2018-01-17 15:57:00,,3,,,,,,,<10,<10,,,,,,,,,,,,,,,,,,,,,,,,7.3,,7.3
2018-01-17 15:58:00,,3,,,,,,,<10,<10,,,,,,,,,,,,,,,,,,,,,,,,7.3,,7.3
2018-01-17 15:59:00,,,,,,,,0.015,<10,<10,,,,,,,,,,,,,,,,,,,,,,,,7.3,,7.3
2018-01-17 16:00:00,21.912,3,814,783,816,813,376,0.015,<10,<10,23,22,21.5,21.4,34,23.285,22.6829256,22.20222222,21.81888889,,25.64722222,39.3,42.2,44,43.5,14.5,41.732,43.284,42.26,43.056,,27.501,,7.3,,7.3
2018-01-17 16:01:00,21.164,3,806,782,813,810,374,0.018,<10,<10,23,22,21.5,21.4,33.9,23.285,22.6829256,22.20222222,21.81888889,,25.59777778,39.3,42.2,44,43.5,14.5,41.537,43.284,42.26,42.992,,27.77,,7.3,,7.3
2018-01-17 16:02:00,20.493,3,805,782,809,810,374,0.018,<10,<10,23,22.1,21.5,21.4,34,23.285,22.6829256,22.20222222,21.81888889,,25.55,39.3,42.2,44.1,43.5,14.6,41.765,43.155,42.26,43.024,,27.936,,7.3,,7.3
2018-01-17 16:03:00,22.339,3,799,780,805,806,379,0.018,<10,<10,23,22.1,21.5,21.4,34.1,23.285,22.6829256,22.22611111,21.81888889,,25.45277778,39.3,42.2,44,43.4,14.3,41.732,43.284,42.295,42.992,,28.167,,7.3,,7.3
2018-01-17 16:04:00,24.674,3,802,773,799,801,379,0.018,<10,<10,23,22.1,21.5,21.5,34.4,23.285,22.6829256,22.22611111,21.84277778,,25.40388889,39.3,42.1,43.9,43.4,14,41.83,43.22,42.327,42.93,,28.299,,7.3,,7.3
2018-01-17 16:05:00,20.798,3,799,767,790,800,383,0.022,<10,<10,23,22.1,21.5,21.5,33.7,23.285,22.6829256,22.22611111,21.81888889,,25.33111111,39.3,41.9,43.9,43.4,14.2,41.96,43.188,42.262,42.927,,28.361,,7.3,,7.3
2018-01-17 16:06:00,23.545,3,794,767,785,798,382,0.022,<10,<10,23,22.1,21.5,21.5,34.1,23.26111111,22.6590348,22.22611111,21.81888889,,25.28277778,39.3,42.1,43.9,43.4,14.3,42.12,43.185,42.198,42.992,,28.765,,7.3,,7.3
2018-01-17 16:07:00,26.658,3,792,767,783,789,382,0.015,<10,<10,23,22.1,21.5,21.4,33.5,23.26111111,22.6590348,22.25,21.81888889,,25.21,39.3,42.1,43.8,43.4,14.8,42.055,43.12,42.2,42.992,,29.132,,7.3,,7.3
2018-01-17 16:08:00,27.604,3,791,776,781,784,384,0.015,<10,<10,23,22.1,21.5,21.5,33.6,23.26111111,22.6590348,22.25,21.81888889,,25.13722222,39.3,42.1,43.8,43.5,14.8,42.12,43.152,42.168,42.992,,29.397,,7.3,,7.3
2018-01-17 16:09:00,25.635,2,783,776,778,780,384,0.017,<10,<10,23,22.1,21.5,21.5,33.5,23.23722222,22.6590348,22.27388889,21.81888889,,25.08888889,39.2,42,43.8,43.4,14.8,42.084,43.249,42.009,42.992,,29.833,,7.3,,7.3
2018-01-17 16:10:00,28.275,2,777,777,774,777,384,0.017,<10,<10,23,22.1,21.5,21.5,33.5,23.23722222,22.6590348,22.22611111,21.81888889,,25.04,39.2,42,43.8,43.4,14.6,42.149,43.411,42.1,42.992,,29.999,,7.3,,7.3
2018-01-17 16:11:00,27.787,3,776,772,772,773,380,0.016,<10,<10,23,22.1,21.5,21.5,33,23.23722222,22.6590348,22.17777778,21.81888889,,24.99222222,39.3,42,43.8,43.5,15.2,42.019,43.282,42.548,43.056,,30.231,,7.3,,7.3
2018-01-17 16:12:00,28.672,3,783,768,772,769,384,0.016,<10,<10,23,22.1,21.5,21.5,33,23.21277778,22.6590348,22.13,21.81888889,,24.91888889,39.2,41.9,43.8,43.4,14.8,42.179,43.249,42.769,43.088,,30.394,,7.3,,7.3
